Wavelength [nm],Condition_1,Condition_2,Condition_3,Condition_4,Replicate,Plate,Construct
460,0.640147580882695,0.530284785357336,0.529059729009979,0.517980720860355,Replica 3,1,088
461,0.678406994589735,0.588385814919622,0.576365924321793,0.565118081331321,Replica 3,1,088
462,0.74920551258003,0.653817207538082,0.601035966170144,0.597503772892279,Replica 3,1,088
463,0.7974328367464,0.707131675597568,0.659857774135963,0.621881415616375,Replica 3,1,088
464,0.839831336134063,0.761740622554037,0.68964911767288,0.725741322347759,Replica 3,1,088
465,0.911947540576992,0.82852670239027,0.764464019197565,0.762137836331253,Replica 3,1,088
466,0.979862650565055,0.884219399120958,0.803576131807673,0.84175606042066,Replica 3,1,088
467,1.05590090997876,0.944322355349509,0.899242047350092,0.836154505037321,Replica 3,1,088
468,1.14337978824004,0.980176410379915,0.866729097772965,0.883917281886038,Replica 3,1,088
469,1.16666408296774,1.07766873381901,1.01660764976149,0.986050495574499,Replica 3,1,088
470,1.15607608476599,1.10239930158348,0.95442041497176,1.02728718848146,Replica 3,1,088
471,1.21968158494427,1.09240472033235,1.05301278862193,1.0411687128659,Replica 3,1,088
472,1.24707396096548,1.08224456619905,1.06931316028211,1.02394257046131,Replica 3,1,088
473,1.20028834080022,1.14779637545909,1.0689327207281,1.09583826188631,Replica 3,1,088
474,1.25620475297255,1.20267625985911,1.0956220186708,1.07158298323612,Replica 3,1,088
475,1.26180104484785,1.17473959901258,1.07436130051798,1.12890375385787,Replica 3,1,088
476,1.25790999426419,1.15324522849058,1.09696818940037,1.11112017511659,Replica 3,1,088
477,1.33427379974266,1.16188512252393,1.09111527318486,1.10335685442754,Replica 3,1,088
478,1.27083882369355,1.09038774158589,1.06950338005911,1.04614485187149,Replica 3,1,088
479,1.21224053203528,1.16612980913962,1.04448216323783,1.05458797297114,Replica 3,1,088
480,1.20675275551491,1.0562044674574,1.02257762430131,1.09114763905317,Replica 3,1,088
481,1.16581146232192,1.0933228972244,0.951098885019461,1.02440483474052,Replica 3,1,088
482,1.12046754615778,0.990366668673611,0.938734599514208,0.981958097102691,Replica 3,1,088
483,1.19261475498783,1.01538322596183,0.943416932486611,0.979646775706652,Replica 3,1,088
484,1.12801711442169,1.03118791016919,0.950016095519593,0.942720017402891,Replica 3,1,088
485,1.09163346613546,1.01464567403215,0.960009949957566,0.903128441489579,Replica 3,1,088
486,1.05438169500984,1.00350713468601,0.921629451874396,0.94073500020394,Replica 3,1,088
487,1.07614677476863,0.963257872237943,0.908577448713822,0.918641486859458,Replica 3,1,088
488,1.05469173888105,0.935215846830032,0.859134938983348,0.926391211540292,Replica 3,1,088
489,1.06479916908243,0.981606357998675,0.894047584208832,0.883264673491863,Replica 3,1,088
490,1.04273954764599,0.939791679210067,0.862236984577566,0.871776046552732,Replica 3,1,088
491,1.06467515153394,0.92314407851165,0.91119662872026,0.910279941809085,Replica 3,1,088
492,1.0086502240067,0.949695947980011,0.922580550759416,0.926948647876983,Replica 3,1,088
493,1.07030244779636,0.927418869287736,0.884521963068099,0.903631493793422,Replica 3,1,088
494,1.07997581657805,0.976940213137456,0.887799596148781,0.922597925249147,Replica 3,1,088
495,1.01041747407258,0.960638810283581,0.903061075180709,0.919117347146878,Replica 3,1,088
496,1.09425333684716,0.977677765067132,0.92040033946914,0.896942257753124,Replica 3,1,088
497,1.09003674019874,0.990276356192426,0.994190980656112,0.946241383529796,Replica 3,1,088
