Wavelength [nm],Condition_5,Condition_6,Condition_7,Condition_8,Replicate,Plate,Construct
460,0.48077800651043,0.443866467364225,0.513490810460691,0.499770481296391,Replica 3,2,076
461,0.508158319051627,0.535734927752865,0.580752570642053,0.500116924622593,Replica 3,2,076
462,0.595917291174413,0.507304434479322,0.6580641243624,0.546756857412588,Replica 3,2,076
463,0.603908286093844,0.644803188839063,0.633309043802121,0.673416537472176,Replica 3,2,076
464,0.65763454381357,0.59429995017439,0.726722532588454,0.705436561896431,Replica 3,2,076
465,0.658638488606748,0.714020926756353,0.759442555258684,0.745615326652751,Replica 3,2,076
466,0.691332609952236,0.712127553562531,0.84157153266942,0.766072805065001,Replica 3,2,076
467,0.804413300747381,0.831310413552566,0.91320540846895,0.865545345100858,Replica 3,2,076
468,0.788907931163866,0.851878425510712,0.884634847380779,0.937319741206835,Replica 3,2,076
469,0.86808773869041,0.875146985550573,0.970387013197312,0.979672437835076,Replica 3,2,076
470,0.822727687580493,0.919192825112108,0.972218848676221,0.938644886929559,Replica 3,2,076
471,0.878908032572431,0.97818634778276,1.0352906647235,1.04594704613759,Replica 3,2,076
472,0.847988561113872,0.923497757847534,1.04461177232613,0.991650715838523,Replica 3,2,076
473,0.875480423076533,0.927523667164923,0.990800340053437,1.04748871893919,Replica 3,2,076
474,0.931295697234588,0.989456900847035,1.05874018298114,1.08175196390061,Replica 3,2,076
475,0.892527202847552,0.900548081714001,1.03633309043802,0.984098251327311,Replica 3,2,076
476,0.867641541004553,1.00965620328849,1.15792243543033,1.01971262526091,Replica 3,2,076
477,0.933506403950878,1.04326856003986,1.05732329366043,1.08834304818161,Replica 3,2,076
478,0.854732230684203,0.938026905829596,1.04372115618169,0.98327544842758,Replica 3,2,076
479,0.899007210148969,0.959282511210762,1.00734758319164,1.05482465637153,Replica 3,2,076
480,0.790155256512965,0.970503238664674,1.03421787709497,0.991425527676491,Replica 3,2,076
481,0.849093914472016,0.91836571998007,0.99756092624079,1.01482777436146,Replica 3,2,076
482,0.817292188498241,0.814907822620827,0.964506922516395,0.987216241263132,Replica 3,2,076
483,0.83480544766811,0.871788739412058,0.961055784956684,0.929542088533592,Replica 3,2,076
484,0.811704576568537,0.901474838066766,0.911322969800016,0.908227162888991,Replica 3,2,076
485,0.723337153055947,0.892605879422023,0.909501254959113,0.920491256636555,Replica 3,2,076
486,0.783208769812698,0.825670154459392,0.870961865435997,0.830528585904953,Replica 3,2,076
487,0.755787893845514,0.748938714499253,0.911505141284107,0.904615491213331,Replica 3,2,076
488,0.770390727200819,0.82570004982561,0.970599546595417,0.863102919651132,Replica 3,2,076
489,0.760107898713125,0.782929745889387,0.831299085094324,0.825912228583307,Replica 3,2,076
490,0.701372057884009,0.81582461385152,0.836703505789005,0.841571466927654,Replica 3,2,076
491,0.765279735526463,0.851788739412058,0.936826977572666,0.897080348868429,Replica 3,2,076
492,0.737686464998834,0.84192326856004,0.946988098129706,0.793415844585524,Replica 3,2,076
493,0.799271886503534,0.799123069257598,0.940844870860659,0.846421673494487,Replica 3,2,076
494,0.741479145328614,0.857189835575486,0.838596065095944,0.871789986055656,Replica 3,2,076
495,0.820131628317328,0.860577977080219,0.890049388713465,0.898725954667891,Replica 3,2,076
496,0.883319305148513,0.882561036372696,0.900888592016841,0.949505885206004,Replica 3,2,076
497,0.758546206812627,0.882640757349277,0.922769411383694,0.964411609315861,Replica 3,2,076
498,0.801218930950908,0.877578475336323,0.921382883977006,1.0077863137564,Replica 3,2,076
499,0.862530549330196,0.853353263577479,0.945803983483119,0.959059059926034,Replica 3,2,076
500,0.846944052894707,0.87927254608869,0.962826896607562,0.937579573701487,Replica 3,2,076
501,0.903601018141992,0.941355256601893,0.985557849566837,0.961648723789397,Replica 3,2,076
502,0.916398779040878,0.847962132536124,0.964537284430411,0.953438016958401,Replica 3,2,076
503,0.837898408899616,0.910602889885401,0.996376811594203,0.960652699226565,Replica 3,2,076
504,0.854458427558792,0.98101644245142,1.05469192777913,1.01914099377268,Replica 3,2,076
505,0.879100708845869,0.913692077727952,0.980861873532508,0.937449657454161,Replica 3,2,076
506,0.860989139142692,0.889865470852018,0.95427495749332,0.980876328393629,Replica 3,2,076
507,0.956171218221091,0.952456402590932,1.02993684721885,1.01028936678821,Replica 3,2,076
508,0.86398069180923,0.959242650722471,0.952635414136507,0.952935674135407,Replica 3,2,076
509,0.91349849408281,0.907742899850523,0.981884057971014,0.993547493049481,Replica 3,2,076
510,0.86485280546795,0.976671649227703,0.99997975872399,1.02399986142267,Replica 3,2,076
511,0.882203810933871,0.961494768310912,1.03126265079751,1.03009726396383,Replica 3,2,076
512,0.946912616239567,0.950572994519183,1.03835721803903,0.97444114360942,Replica 3,2,076
513,0.958260234659419,0.911858495266567,0.973139826734677,1.00769104184169,Replica 3,2,076
514,0.926144142134245,0.911748878923767,1.09633835316978,1.00551710996977,Replica 3,2,076
515,1,1,1,1,Replica 3,2,076
516,0.933526685663871,0.941454907822621,1.06570318192859,0.940992040464581,Replica 3,2,076
517,0.96292502864792,0.958844045839562,1.02327746741155,0.981525909630258,Replica 3,2,076
518,0.982882234233503,0.976372695565521,1.07428548295685,1.00279752985908,Replica 3,2,076
519,1.01827382340712,1.0074937717987,1.07891061452514,1.02194718471492,Replica 3,2,076
520,1.07268965936863,0.981654210264076,1.04701036353332,0.999506318260162,Replica 3,2,076
521,1.0251898875379,1.02654708520179,1.06170552991661,1.05167202210308,Replica 3,2,076
522,1.07367332244881,1.05575485799701,1.07968990365153,1.08292121012654,Replica 3,2,076
523,1.02605186034012,0.985729945191829,1.0239859120719,1.09359166457357,Replica 3,2,076
524,1.09532405106935,1.10524165421026,1.11410007286859,1.10403693085857,Replica 3,2,076
525,1.10062771901715,0.979212755356253,1.11182292931746,1.09010124806208,Replica 3,2,076
526,1.11205646428897,0.995346287992028,1.09239130434783,1.13791042707801,Replica 3,2,076
527,1.01813185141617,1.07704035874439,1.08011497044774,1.04861465974935,Replica 3,2,076
528,1.08101530255245,0.946128550074738,0.999170107683588,1.05824578421777,Replica 3,2,076
529,1.08176572593321,0.986287992027902,1.01648651931018,1.05193185459774,Replica 3,2,076
530,1.07576233888714,1.01207772795217,0.999018298113513,1.09105396720914,Replica 3,2,076
531,1.02167101033353,0.931748878923767,0.972421261436321,0.994500212196537,Replica 3,2,076
532,0.969759965926722,0.868619830592925,1.01303538175047,1.02300383685984,Replica 3,2,076
533,1.01324395858474,0.852067762830095,0.969708930450976,1.00093539698075,Replica 3,2,076
534,0.924724422224701,0.873442949676134,0.969010606428629,0.927177612832261,Replica 3,2,076
535,0.916124975915466,0.800089686098655,0.833586349283459,0.829134151516989,Replica 3,2,076
536,0.857591952216284,0.829686098654709,0.835964699214638,0.867104340068769,Replica 3,2,076
537,0.833618967457991,0.814100647732935,0.886517286049713,0.861942334508354,Replica 3,2,076
538,0.76074677267242,0.782561036372696,0.787254068496478,0.75929117695459,Replica 3,2,076
539,0.700753465637708,0.742700548081714,0.860922192535017,0.815207129803653,Replica 3,2,076
