Wavelength [nm],Condition_5,Condition_6,Condition_7,Condition_8,Replicate,Plate,Construct
460,0.562362224849046,0.483020314296665,0.505668047846142,0.511676542349251,Replica 1,2,095
461,0.659467748634229,0.546753545419701,0.561207098741302,0.545402579295922,Replica 1,2,095
462,0.705472668604837,0.595431199693369,0.626831365804081,0.653705123736494,Replica 1,2,095
463,0.762052330596467,0.680122652357225,0.675975295129388,0.669975601254793,Replica 1,2,095
464,0.841522635059583,0.707382138750479,0.778719412086623,0.79000348553503,Replica 1,2,095
465,0.926679658796844,0.817064009198927,0.841982644046595,0.859560822586267,Replica 1,2,095
466,0.949202900865787,0.896619394403986,0.881088265186459,0.935099337748344,Replica 1,2,095
467,1.03263474010415,0.960751245688003,0.981596434993355,0.993921226908331,Replica 1,2,095
468,1.0702373726079,0.950540436949022,1.05216167617856,1.06959916347159,Replica 1,2,095
469,1.13609788824638,1.05896512073591,1.0527871159409,1.12450331125828,Replica 1,2,095
470,1.13908501325836,1.09131467995401,1.10143069345634,1.13530846985012,Replica 1,2,095
471,1.1853455161177,1.14911460329628,1.16863419591901,1.18604391774137,Replica 1,2,095
472,1.24023194147152,1.13481027213492,1.17265264639199,1.20863018473336,Replica 1,2,095
473,1.26456023769209,1.17487159831353,1.2081776248925,1.22732659463228,Replica 1,2,095
474,1.25877767483467,1.20133384438482,1.18406692205457,1.26198675496689,Replica 1,2,095
475,1.2573080732245,1.17967037178996,1.18280040653585,1.20927152317881,Replica 1,2,095
476,1.20409891057794,1.19330011498658,1.20204831522164,1.20471244336006,Replica 1,2,095
477,1.23778793009808,1.15559984668455,1.17532640137597,1.22623910770303,Replica 1,2,095
478,1.23397016069774,1.13925642008432,1.19721679305762,1.23502265597769,Replica 1,2,095
479,1.22636656975815,1.17454963587581,1.14596200453444,1.16882537469502,Replica 1,2,095
480,1.14358966167215,1.14670755078574,1.15817371589399,1.20071104914604,Replica 1,2,095
481,1.08814414874924,1.08176312763511,1.12837151121883,1.12545137678634,Replica 1,2,095
482,1.14625730807322,1.08843234955922,1.10290047689782,1.09882188915999,Replica 1,2,095
483,1.04531804095716,1.06468378689153,1.05827534985537,1.09989543394911,Replica 1,2,095
484,1.05653174019999,1.01080873898045,0.983535298256587,1.07008713837574,Replica 1,2,095
485,1.06023769208651,0.988593330778076,1.07189430068017,0.990575113279889,Replica 1,2,095
486,1.01872144659915,0.962775009582215,0.972293018528653,1.00206343673754,Replica 1,2,095
487,1.04419986581898,0.937830586431583,1.01300914705652,0.973203206692227,Replica 1,2,095
488,0.98904188364589,0.97776926025297,0.989946055820499,1.00313698152666,Replica 1,2,095
489,0.993450688476407,0.951720965887313,0.978234696270815,0.952080864412687,Replica 1,2,095
490,0.977524679722693,0.918850134151016,0.972934094285044,0.961812478215406,Replica 1,2,095
491,1.0027475160538,0.945174396320429,0.979970291611289,0.963820146392471,Replica 1,2,095
492,0.988914092201527,0.92024530471445,0.962801970135251,0.999581735796445,Replica 1,2,095
493,0.989025909715345,0.926623227290149,0.963646313814401,0.988623213663297,Replica 1,2,095
494,1.00396153477525,0.971038712150249,1.00850598076773,0.978110840013942,Replica 1,2,095
495,1.00892942717485,0.960045994633959,0.986818857008834,0.947019867549669,Replica 1,2,095
496,1.02094182294495,0.990571100038329,0.988960988194825,0.999386545834786,Replica 1,2,095
497,1.01972780422351,1.00639325412035,1.0009381596435,1.01105611711398,Replica 1,2,095
498,1.06582856777739,0.97119202759678,1.03643186615589,0.991202509585221,Replica 1,2,095
499,1.05137216063385,1.0004906094289,1.04118520834962,1.02438480306727,Replica 1,2,095
500,1.01381744992173,0.955017247987735,1.0051755140333,1.03795050540258,Replica 1,2,095
501,1.03964729561356,0.97806055960138,1.05619576264561,1.03220634367375,Replica 1,2,095
502,1.08025302705984,0.974059026446915,1.04728324603237,1.02859532938306,Replica 1,2,095
503,1.041388454043,0.993008815638176,1.06779767023689,1.03498082955734,Replica 1,2,095
504,1.02281077281876,0.956243771559985,1.04825267766398,1.02190310212618,Replica 1,2,095
505,1.02445608766493,1.01011881947106,1.01852865295911,1.0127291739282,Replica 1,2,095
506,1.01717197533625,1.01718666155615,1.04789304980064,1.04372255141164,Replica 1,2,095
507,1.05054151624549,0.999632042928325,1.02927058087718,1.014234925061,Replica 1,2,095
508,1.01376952813009,1.00374089689536,0.998702212493159,0.994771697455559,Replica 1,2,095
509,0.984792818120827,1.03616711383672,1.02581502619029,1.0358591843848,Replica 1,2,095
510,1.00340244720616,0.925902644691453,1.06549917911031,1.01155803415824,Replica 1,2,095
511,1.00897734896649,1.03894212341893,1.03430537096396,1.00581387242942,Replica 1,2,095
512,0.98038401329031,1.0240398620161,1.02070205613322,1.01915650052283,Replica 1,2,095
513,1.00707645123159,0.970885396703718,1.01744976936909,1.01710700592541,Replica 1,2,095
514,0.971374716462733,1.0174013031813,1.01149245563287,1.01951899616591,Replica 1,2,095
515,1,1,1,1,Replica 1,2,095
516,0.958579598095908,0.989651207359141,1.04184192010007,1.02352039037992,Replica 1,2,095
517,0.957109996485735,1.00038328861633,1.02822296927527,1.00925758103869,Replica 1,2,095
518,1.0080668349254,1.01904177845918,1.03464936283324,1.0308121296619,Replica 1,2,095
519,0.982636337497205,1.03244154848601,1.09106402939567,1.0459532938306,Replica 1,2,095
520,0.96509696175841,1.01212725182062,1.04481275897115,1.03439525967236,Replica 1,2,095
521,0.976166895626338,0.995768493675738,1.0652020952232,1.07021261763681,Replica 1,2,095
522,0.949889779879237,1.01442698351859,1.12050660620749,1.01006622516556,Replica 1,2,095
523,1.0147599118239,1.07638175546186,1.09534829176765,1.034353433252,Replica 1,2,095
524,0.929906392767004,1.02390187811422,1.08596669533266,1.06121993726037,Replica 1,2,095
