Treatment,DxAm,DxDm,DxAm/DxDm,Mean,Normalized,Replicate,Construct,Plate
0,29943,36330,0.824194880264244,0.837873325931227,0.983674804718506,1,164,1
0,30260,35699,0.847642791114597,0.837873325931227,1.01165983553959,1,164,1
0,29906,35527,0.841782306414839,0.837873325931227,1.0046653597419,1,164,1
200,31044,35328,0.878736413043478,0.837873325931227,1.04877000597535,1,164,1
200,31121,35140,0.88562891291975,0.837873325931227,1.05699618965128,1,164,1
200,29505,34330,0.859452374016895,0.837873325931227,1.02575454715865,1,164,1
400,32070,32883,0.975275978469118,0.837873325931227,1.16398976824472,1,164,1
400,30693,33212,0.924153920269782,0.837873325931227,1.10297570249376,1,164,1
400,32429,34298,0.945507026648784,0.837873325931227,1.12846058871481,1,164,1
600,33875,32044,1.05714018224941,0.837873325931227,1.26169451817133,1,164,1
600,35439,32660,1.08508879363135,0.837873325931227,1.29505112533015,1,164,1
600,34049,32763,1.0392515947868,0.837873325931227,1.24034452777424,1,164,1
0,33133,39307,0.842928740427914,0.839082702251618,1.00458362228893,1,164,2
0,33322,40317,0.826499987598284,0.839082702251618,0.985004202065458,1,164,2
0,32970,38888,0.847819378728657,0.839082702251618,1.01041217564561,1,164,2
800,40200,31939,1.25864930022856,0.839082702251618,1.50003008863258,1,164,2
800,39496,31838,1.24053018405679,0.839082702251618,1.47843613117982,1,164,2
800,40849,33446,1.221341864498,0.839082702251618,1.45556792104117,1,164,2
1000,42309,32278,1.31076894479212,0.839082702251618,1.56214511546331,1,164,2
1000,44214,32742,1.35037566428441,0.839082702251618,1.60934751802268,1,164,2
1000,44163,32321,1.36638717861452,0.839082702251618,1.62842968273321,1,164,2
1500,42640,31115,1.37040012855536,0.839082702251618,1.63321222673044,1,164,2
1500,43752,30091,1.45398956498621,0.839082702251618,1.73283224774451,1,164,2
1500,43016,31939,1.34681737061273,0.839082702251618,1.60510682319948,1,164,2
0,24463,30114,0.812346416948927,0.810973595753751,1.00169280627922,2,164,1
0,26171,33192,0.788473126054471,0.810973595753751,0.972254991016856,2,164,1
0,27352,32871,0.832101244257856,0.810973595753751,1.02605220270392,2,164,1
200,27766,32120,0.864445828144458,0.810973595753751,1.06593584880036,2,164,1
200,28097,32733,0.858369229829224,0.810973595753751,1.05844288189361,2,164,1
200,28297,32571,0.868778975161954,0.810973595753751,1.07127899072284,2,164,1
400,29999,33191,0.90382935133018,0.810973595753751,1.11449911077576,2,164,1
400,30052,31631,0.95008061711612,0.810973595753751,1.171530888417,2,164,1
400,29539,32217,0.916876183381445,0.810973595753751,1.13058697370938,2,164,1
600,30533,28947,1.05478978823367,0.810973595753751,1.30064627721116,2,164,1
600,32590,30370,1.07309845242015,0.810973595753751,1.32322243046985,2,164,1
600,30959,32489,0.952907137800486,0.810973595753751,1.17501623084882,2,164,1
0,29656,38246,0.775401349160697,0.798183763821794,0.971457181048118,2,164,2
0,28829,36827,0.782822385749586,0.798183763821794,0.980754584635177,2,164,2
0,31609,37795,0.8363275565551,0.798183763821794,1.04778823431671,2,164,2
800,38662,32206,1.2004595417003,0.798183763821794,1.50398892599916,2,164,2
800,39388,33267,1.18399615234316,0.798183763821794,1.48336286204828,2,164,2
800,39477,33559,1.17634613665485,0.798183763821794,1.47377858329562,2,164,2
1000,42059,30685,1.37066970832654,0.798183763821794,1.71723576756764,2,164,2
1000,40774,32149,1.26828206165044,0.798183763821794,1.58895998532689,2,164,2
1000,42308,33208,1.27403035413153,0.798183763821794,1.59616170094883,2,164,2
1500,44300,33510,1.32199343479558,0.798183763821794,1.65625197443973,2,164,2
1500,40851,29843,1.36886372013538,0.798183763821794,1.71497314550862,2,164,2
1500,44376,33078,1.34155632142209,0.798183763821794,1.68076122595951,2,164,2
0,31401,38796,0.809387565728426,0.790488482932063,1.02390810644864,3,164,1
0,31097,40516,0.767523941159048,0.790488482932063,0.970948923015507,3,164,1
0,30638,38560,0.794553941908714,0.790488482932063,1.00514297053585,3,164,1
200,31291,36534,0.85648984507582,0.790488482932063,1.08349440070138,3,164,1
200,30877,36504,0.845852509314048,0.790488482932063,1.07003773941985,3,164,1
200,29601,35191,0.841152567417806,0.790488482932063,1.06409212225056,3,164,1
400,29821,34175,0.872596927578639,0.790488482932063,1.10387051351086,3,164,1
400,29031,32577,0.891150197992449,0.790488482932063,1.12734115326641,3,164,1
400,28534,31774,0.898029835714735,0.790488482932063,1.13604417408307,3,164,1
600,31032,30375,1.02162962962963,0.790488482932063,1.2924029276685,3,164,1
600,31616,31575,1.00129849564529,0.790488482932063,1.26668321837061,3,164,1
600,32232,30706,1.04969712759721,0.790488482932063,1.32790945125943,3,164,1
0,36770,45106,0.815190883696182,0.811678123063866,1.00432777542292,3,164,2
0,39617,48007,0.825233820067907,0.811678123063866,1.01670082834421,3,164,2
0,39330,49496,0.794609665427509,0.811678123063866,0.978971396232871,3,164,2
800,48549,41160,1.17951895043732,0.811678123063866,1.45318558788421,3,164,2
800,51007,41855,1.21865965834428,0.811678123063866,1.50140754532618,3,164,2
800,49143,42204,1.16441569519477,0.811678123063866,1.43457814385758,3,164,2
1000,46700,36599,1.27599114729911,0.811678123063866,1.57204082633469,3,164,2
1000,44727,36573,1.22295135755885,0.811678123063866,1.50669498512852,3,164,2
1000,48122,36156,1.33095475163182,0.811678123063866,1.63975683687004,3,164,2
1500,43689,34808,1.25514249597794,0.811678123063866,1.54635496548818,3,164,2
1500,43857,34739,1.26247157373557,0.811678123063866,1.55538450262782,3,164,2
1500,45354,34436,1.31705192240678,0.811678123063866,1.62262833626126,3,164,2
