Wavelength [nm],Condition_1,Condition_2,Condition_3,Condition_4,Replicate,Plate,Construct
460,0.574936424584696,0.57192948901852,0.559616629171931,0.53615534226214,Replica 3,1,158
461,0.64259057432544,0.639619393707564,0.626721932879287,0.610648155468762,Replica 3,1,158
462,0.722546979754946,0.7170954065857,0.723489167616876,0.679148021062286,Replica 3,1,158
463,0.785544436738334,0.788833636160786,0.786788498875158,0.770829050774023,Replica 3,1,158
464,0.908781663859441,0.893930700328329,0.860165182286049,0.891510254423554,Replica 3,1,158
465,0.985815251494435,0.970004143954608,0.955761348577768,0.970051074461188,Replica 3,1,158
466,1.05589682618316,1.05731407988269,1.02624117846467,1.01619202732405,Replica 3,1,158
467,1.10847452029459,1.16033916674636,1.10288452648772,1.11356556664189,Replica 3,1,158
468,1.23958849367548,1.24956169710879,1.20972911337792,1.16048133331225,Replica 3,1,158
469,1.29195151755342,1.28505626215294,1.27393756356128,1.24017646779779,Replica 3,1,158
470,1.30598764820503,1.33674412674126,1.30848408271441,1.26032162679275,Replica 3,1,158
471,1.36074507084118,1.37203149405502,1.3194705537921,1.32603848768995,Replica 3,1,158
472,1.43655668945474,1.43237384845877,1.3948349718019,1.34264164070777,Replica 3,1,158
473,1.42587271706463,1.4724108252845,1.44041418841875,1.38685346531522,Replica 3,1,158
474,1.43753096205291,1.50333110197316,1.4763783167432,1.46286428108347,Replica 3,1,158
475,1.44821493444301,1.46678460999012,1.41032081111899,1.40355149349315,Replica 3,1,158
476,1.45988969252617,1.47156609607599,1.45183210576597,1.4488227573884,Replica 3,1,158
477,1.46770038640642,1.45140416308055,1.41204659619711,1.40576524722885,Replica 3,1,158
478,1.40820370553849,1.44067769596124,1.40391075225739,1.3734444426875,Replica 3,1,158
479,1.38368175963539,1.362898855631,1.3768991340257,1.34615202163154,Replica 3,1,158
480,1.35440404240563,1.38298109719167,1.33947117014392,1.35413734760677,Replica 3,1,158
481,1.31771194557284,1.34107934079245,1.33467903479306,1.2892585506238,Replica 3,1,158
482,1.27826216189438,1.29563928468968,1.28506271379704,1.28117834948846,Replica 3,1,158
483,1.28050794279864,1.30709891300883,1.28641868778699,1.26172894166759,Replica 3,1,158
484,1.22921827008818,1.23894679799815,1.23244167770964,1.21149254439367,Replica 3,1,158
485,1.21600779418079,1.21880080328966,1.18143856513298,1.17517117060135,Replica 3,1,158
486,1.17411407245946,1.18113863121992,1.14438041233936,1.1569551398618,Replica 3,1,158
487,1.13932098153836,1.17278696885659,1.15891090634534,1.1114308755396,Replica 3,1,158
488,1.18185871396017,1.18227024959357,1.12103608739869,1.1391660473427,Replica 3,1,158
489,1.12804253773242,1.12554588632814,1.10783074979198,1.09968216821366,Replica 3,1,158
490,1.15702301925427,1.13973096171623,1.11054269777189,1.10429942600528,Replica 3,1,158
491,1.12023184385217,1.11411813458289,1.13283922462942,1.09961891810692,Replica 3,1,158
492,1.13060206743948,1.14250422364604,1.11274615550556,1.09514397305545,Replica 3,1,158
493,1.10994418573929,1.14601064677568,1.11052728897655,1.1243813348935,Replica 3,1,158
494,1.11438620826315,1.13198495425712,1.11018829547906,1.11165225091317,Replica 3,1,158
495,1.11879520459725,1.13831245417742,1.13485777681901,1.09104852864439,Replica 3,1,158
496,1.12297301760296,1.1711931401613,1.13066658448642,1.12879302983824,Replica 3,1,158
497,1.13502757686846,1.15737464537312,1.11619772566181,1.09942916778672,Replica 3,1,158
498,1.15264704910994,1.14505434955851,1.12196061511911,1.15061431666166,Replica 3,1,158
499,1.15005449321312,1.16456281278888,1.14690745477519,1.13818567068832,Replica 3,1,158
500,1.14419234452921,1.15823531286857,1.13786249191038,1.10752518144874,Replica 3,1,158
501,1.18331186630998,1.20031239042428,1.14532034885513,1.12860327951803,Replica 3,1,158
502,1.1853925162654,1.19659876956425,1.1425621744892,1.15684445217501,Replica 3,1,158
503,1.1618118167707,1.18305122565427,1.14647600850565,1.14198067709239,Replica 3,1,158
504,1.13383863403679,1.11077109432278,1.14652223489168,1.13260384876899,Replica 3,1,158
505,1.15670927045147,1.15380446909566,1.12920274892909,1.12346420834585,Replica 3,1,158
506,1.1052214406024,1.11827802747761,1.1120373509199,1.09476447241505,Replica 3,1,158
507,1.13053601505994,1.11399062828727,1.11266911152886,1.09527047326892,Replica 3,1,158
508,1.10279401565441,1.10359886519397,1.06659681346112,1.10347717461773,Replica 3,1,158
509,1.12158591763268,1.11972841159032,1.10303861444112,1.09120665391123,Replica 3,1,158
510,1.07351629842465,1.09186828599662,1.11884803846035,1.05513828054585,Replica 3,1,158
511,1.05241256316259,1.09510375824806,1.04254368393479,1.07926819626508,Replica 3,1,158
512,1.03973050629149,1.04277836218163,1.03765909581189,1.03385461962967,Replica 3,1,158
513,1.01175732355758,1.06517165535048,1.02636444882739,1.04084375642384,Replica 3,1,158
