Treatment,DxAm,DxDm,DxAm/DxDm,Mean,Normalized,Replicate,Construct,Plate
0,28537,30649,0.931090737055043,0.93731567205868,0.993358763552982,1,170,1
0,25334,27148,0.933181081479299,0.93731567205868,0.995588902754287,1,170,1
0,28290,29852,0.947675197641699,0.93731567205868,1.01105233369273,1,170,1
200,31004,31300,0.990543130990415,0.93731567205868,1.05678712147726,1,170,1
200,31850,31986,0.995748139811167,0.93731567205868,1.06234022271723,1,170,1
200,29342,30320,0.967744063324538,0.93731567205868,1.03246333350965,1,170,1
400,29282,28212,1.03792712320998,0.93731567205868,1.10733998603728,1,170,1
400,31005,29363,1.05592071654804,0.93731567205868,1.12653692669926,1,170,1
400,33273,30513,1.09045324943467,0.93731567205868,1.16337887217829,1,170,1
600,34432,30157,1.14175813244023,0.93731567205868,1.21811484271091,1,170,1
600,34517,30892,1.11734429625793,0.93731567205868,1.19206829626975,1,170,1
600,33593,31331,1.07219686572404,0.93731567205868,1.14390156666123,1,170,1
0,35326,34750,1.01657553956835,1.01782281398266,0.998774566263222,1,170,2
0,36159,35367,1.02239375689202,1.01782281398266,1.00449090239142,1,170,2
0,36804,36278,1.01449914548762,1.01782281398266,0.996734531345359,1,170,2
800,42211,34289,1.2310361923649,1.01782281398266,1.20947985784279,1,170,2
800,41865,34122,1.22692104800422,1.01782281398266,1.20543677263764,1,170,2
800,41288,33643,1.22723895015308,1.01782281398266,1.20574910808983,1,170,2
1000,44181,33910,1.30289000294898,1.01782281398266,1.28007545620919,1,170,2
1000,41279,34120,1.2098182883939,1.01782281398266,1.18863349472388,1,170,2
1000,41894,33487,1.25105264729597,1.01782281398266,1.22914581016385,1,170,2
1500,42684,34848,1.22486225895317,1.01782281398266,1.20341403447264,1,170,2
1500,40183,33251,1.20847493308472,1.01782281398266,1.18731366253823,1,170,2
1500,39822,33679,1.18239852727219,1.01782281398266,1.1616938734607,1,170,2
0,30316,29928,1.01296444800855,1.04237751935529,0.971782707511835,2,170,1
0,29570,28306,1.04465484349608,1.04237751935529,1.0021847402678,2,170,1
0,30433,28455,1.06951326656124,1.04237751935529,1.02603255222036,2,170,1
200,32917,29613,1.11157262013305,1.04237751935529,1.06638199643883,2,170,1
200,34009,30193,1.12638691087338,1.04237751935529,1.08059401700264,2,170,1
200,36887,33368,1.10546032126588,1.04237751935529,1.06051819109607,2,170,1
400,38657,31714,1.21892539572429,1.04237751935529,1.16937037981996,2,170,1
400,35297,30387,1.16158225556982,1.04237751935529,1.11435850639628,2,170,1
400,35748,31868,1.12175222794025,1.04237751935529,1.07614775559824,2,170,1
600,39888,31259,1.27604849803257,1.04237751935529,1.2241711609646,2,170,1
600,39904,31737,1.2573337114409,1.04237751935529,1.20621721794093,2,170,1
600,39747,32604,1.21908354803092,1.04237751935529,1.16952210249595,2,170,1
0,28014,27308,1.02585322982276,1.05441699763947,0.972910368591694,2,170,2
0,30710,28913,1.06215197316086,1.05441699763947,1.00733578417145,2,170,2
0,33138,30819,1.07524578993478,1.05441699763947,1.01975384723685,2,170,2
800,39065,28384,1.37630355129651,1.05441699763947,1.30527443542512,2,170,2
800,38536,28892,1.33379482209608,1.05441699763947,1.26495952273347,2,170,2
800,39160,30449,1.2860849288975,1.05441699763947,1.21971187089801,2,170,2
1000,42496,30608,1.38839519079979,1.05441699763947,1.31674204219773,2,170,2
1000,40418,28829,1.40199105067814,1.05441699763947,1.32963623861981,2,170,2
1000,42310,28810,1.46858729607775,1.05441699763947,1.39279554423486,2,170,2
1500,40357,30539,1.3214905530633,1.05441699763947,1.25329025994623,2,170,2
1500,42006,33496,1.2540601862909,1.05441699763947,1.18933988080463,2,170,2
1500,41473,31071,1.3347816291719,1.05441699763947,1.26589540206586,2,170,2
0,29848,29313,1.01825128782451,1.01339816894945,1.00478895563833,3,170,1
0,29780,30340,0.981542518127884,1.01339816894945,0.968565513736234,3,170,1
0,31469,30247,1.04040070089596,1.01339816894945,1.02664553062544,3,170,1
200,32440,31546,1.02833956761555,1.01339816894945,1.0147438579661,3,170,1
200,32291,30699,1.05185836672204,1.01339816894945,1.03795171429258,3,170,1
200,32123,30661,1.04768272398161,1.01339816894945,1.03383127785567,3,170,1
400,32594,29616,1.10055375472717,1.01339816894945,1.08600329904688,3,170,1
400,34920,31039,1.12503624472438,1.01339816894945,1.1101621052766,3,170,1
400,35328,30931,1.14215511945944,1.01339816894945,1.12705465083233,3,170,1
600,36482,29424,1.23987221315933,1.01339816894945,1.22347982377415,3,170,1
600,35215,28935,1.21703818904441,1.01339816894945,1.20094768900763,3,170,1
600,36424,29949,1.21620087482053,1.01339816894945,1.20012144494134,3,170,1
0,33376,31143,1.07170150595639,1.05911185808132,1.01188698604308,3,170,2
0,35178,32353,1.08731802305814,1.05911185808132,1.02663190366683,3,170,2
0,32691,32103,1.01831604522942,1.05911185808132,0.961481110290083,3,170,2
800,39678,28880,1.373891966759,1.05911185808132,1.29721139110645,3,170,2
800,41546,30444,1.36466955721981,1.05911185808132,1.2885037088453,3,170,2
800,40343,30273,1.33263964588908,1.05911185808132,1.25826147230877,3,170,2
1000,41091,29034,1.41527175036164,1.05911185808132,1.33628165860171,3,170,2
1000,44964,31133,1.44425529181255,1.05911185808132,1.36364755128788,3,170,2
1000,46414,32234,1.43990817149594,1.05911185808132,1.3595430553525,3,170,2
1500,49963,34305,1.45643492202303,1.05911185808132,1.37514740384599,3,170,2
1500,44535,32171,1.3843212831432,1.05911185808132,1.30705861952205,3,170,2
1500,45792,32845,1.39418480742883,1.05911185808132,1.31637163420541,3,170,2
