Treatment,DxAm,DxDm,DxAm/DxDm,Mean,Normalized,Replicate,Construct,Plate
0,35966,32318,1.11287827217031,1.1283826445315,0.986259650096238,1,143,1
0,36765,32114,1.14482780095908,1.1283826445315,1.01457409550499,1,143,1
0,35148,31175,1.12744186046512,1.1283826445315,0.999166254398767,1,143,1
200,36036,33568,1.07352240228789,1.1283826445315,0.95138152601914,1,143,1
200,35356,33843,1.0447064385545,1.1283826445315,0.925844121776844,1,143,1
200,35010,30935,1.1317278163892,1.1283826445315,1.00296457223435,1,143,1
400,35502,32138,1.10467359512104,1.1283826445315,0.978988466788847,1,143,1
400,33939,32239,1.05273116411799,1.1283826445315,0.932955827723743,1,143,1
400,35587,33525,1.06150633855332,1.1283826445315,0.940732599617437,1,143,1
600,35085,31720,1.10608448928121,1.1283826445315,0.980238835329172,1,143,1
600,34759,29502,1.17819130906379,1.1283826445315,1.04414164359376,1,143,1
600,32814,29899,1.09749489949497,1.1283826445315,0.972626533041582,1,143,1
0,35789,31119,1.1500690896237,1.09818119699778,1.04724893557436,1,143,2
0,35089,32641,1.07499770227628,1.09818119699778,0.978889189885162,1,143,2
0,33973,31766,1.06947679909337,1.09818119699778,0.97386187454048,1,143,2
800,38186,32594,1.17156531877033,1.09818119699778,1.066823327492,1,143,2
800,37270,31701,1.1756726917132,1.09818119699778,1.0705634870887,1,143,2
800,37579,31940,1.17654978083907,1.09818119699778,1.07136216141338,1,143,2
1000,35306,33034,1.06877762305503,1.09818119699778,0.973225207258025,1,143,2
1000,36991,31992,1.15625781445361,1.09818119699778,1.05288436700118,1,143,2
1000,34870,31355,1.11210333280179,1.09818119699778,1.01267744871435,1,143,2
1500,33820,34001,0.994676627158025,1.09818119699778,0.905749096667544,1,143,2
1500,36389,32161,1.13146357389385,1.09818119699778,1.03030681729668,1,143,2
1500,33597,31048,1.08209868590569,1.09818119699778,0.985355321019832,1,143,2
0,30541,27033,1.12976732142197,1.13795480953571,0.992805085012926,2,143,1
0,30754,25989,1.18334680056947,1.13795480953571,1.03988909810248,2,143,1
0,30515,27722,1.10075030661568,1.13795480953571,0.967305816884589,2,143,1
200,30851,27453,1.12377517939752,1.13795480953571,0.987539373251582,2,143,1
200,32029,26522,1.20763894125632,1.13795480953571,1.06123629087612,2,143,1
200,31673,28182,1.1238733943652,1.13795480953571,0.987625681571437,2,143,1
400,33301,27407,1.21505454810815,1.13795480953571,1.06775290013836,2,143,1
400,33890,28484,1.18979075972476,1.13795480953571,1.04555185298632,2,143,1
400,34519,27436,1.25816445545998,1.13795480953571,1.1056365726626,2,143,1
600,34202,28228,1.21163383874167,1.13795480953571,1.06474688501561,2,143,1
600,33636,27836,1.20836327058485,1.13795480953571,1.06187280941136,2,143,1
600,34845,28701,1.21406919619525,1.13795480953571,1.06688700291236,2,143,1
0,36385,28238,1.28851193427297,1.24756490210357,1.03282156471407,2,143,2
0,31896,27459,1.16158636512619,1.24756490210357,0.931082914538228,2,143,2
0,33888,26217,1.29259640691155,1.24756490210357,1.0360955207477,2,143,2
800,39047,29063,1.34352957368475,1.24756490210357,1.07692158653981,2,143,2
800,39478,29856,1.32228027867095,1.24756490210357,1.05988896965714,2,143,2
800,38661,29798,1.29743606953487,1.24756490210357,1.03997480800174,2,143,2
1000,39755,30594,1.2994377982611,1.24756490210357,1.04157931669131,2,143,2
1000,42077,33681,1.24928000950091,1.24756490210357,1.00137476406594,2,143,2
1000,39620,31971,1.23924806856213,1.24756490210357,0.993333546393131,2,143,2
1500,39353,32679,1.20422901557575,1.24756490210357,0.965263621592156,2,143,2
1500,39628,32910,1.20413248252811,1.24756490210357,0.965186244417243,2,143,2
1500,39196,32858,1.19289062024469,1.24756490210357,0.956175200370988,2,143,2
0,20271,16640,1.21820913461538,1.14092890727494,1.06773448095467,3,143,1
0,19823,17517,1.13164354626934,1.14092890727494,0.991861577924445,3,143,1
0,21228,19785,1.07293404094011,1.14092890727494,0.940403941120889,3,143,1
200,25016,23677,1.05655277273303,1.14092890727494,0.926046106813579,3,143,1
200,27119,25098,1.08052434456929,1.14092890727494,0.947056681340533,3,143,1
200,30165,26674,1.13087650896004,1.14092890727494,0.991189285983719,3,143,1
400,34087,28865,1.18091113805647,1.14092890727494,1.03504357767306,3,143,1
400,34078,30839,1.10502934595804,1.14092890727494,0.968534795561761,3,143,1
400,35821,29044,1.23333562870128,1.14092890727494,1.08099253234546,3,143,1
600,35592,31131,1.14329767755613,1.14092890727494,1.0020761769345,3,143,1
600,37591,30507,1.23220900121284,1.14092890727494,1.08000506723588,3,143,1
600,38133,31015,1.22950185394164,1.14092890727494,1.0776323100431,3,143,1
0,32137,27342,1.17537122375832,1.19109062818532,0.98680251187019,3,143,2
0,31336,25933,1.20834458026453,1.19109062818532,1.01448584320195,3,143,2
0,33737,28361,1.18955608053313,1.19109062818532,0.998711644927862,3,143,2
800,37094,31404,1.1811871099223,1.19109062818532,0.991685336087221,3,143,2
800,38996,30478,1.27948028085832,1.19109062818532,1.07420900692306,3,143,2
800,39912,32972,1.21048162076914,1.19109062818532,1.01628003119574,3,143,2
1000,38860,33310,1.16661663164215,1.19109062818532,0.979452448063954,3,143,2
1000,41330,31373,1.31737481273707,1.19109062818532,1.10602399310634,3,143,2
1000,40662,34320,1.18479020979021,1.19109062818532,0.994710378668067,3,143,2
1500,36216,31338,1.15565766800689,1.19109062818532,0.970251667387883,3,143,2
1500,32680,29032,1.12565445026178,1.19109062818532,0.945061965584231,3,143,2
1500,37326,30029,1.24299843484632,1.19109062818532,1.04358006471772,3,143,2
