Wavelength [nm],Condition_1,Condition_2,Condition_3,Condition_4,Replicate,Plate,Construct
460,0.46388754241396,0.437318080281595,0.431136474354513,0.374750133808125,Replica 2,1,122
461,0.535537544104882,0.515918680475642,0.485582388011228,0.443849741668396,Replica 2,1,122
462,0.596872921575037,0.569349488932512,0.560431020483912,0.495461446875444,Replica 2,1,122
463,0.674576424038147,0.648119316771588,0.62844781589997,0.555014254661438,Replica 2,1,122
464,0.737636541951775,0.709808434305828,0.711415779339782,0.601011480190936,Replica 2,1,122
465,0.822813919669932,0.770549877027911,0.770141740320598,0.672546942074736,Replica 2,1,122
466,0.895579929883101,0.849376114081996,0.841661447096759,0.739800543970988,Replica 2,1,122
467,0.943072292552052,0.916164624653083,0.886990511981813,0.801811052004937,Replica 2,1,122
468,1.02180162103056,0.983810555292313,0.944695757069618,0.840566254137129,Replica 2,1,122
469,1.07499802725766,1.03105891378416,0.994722434871367,0.892472883373931,Replica 2,1,122
470,1.08827740139107,1.07012793609964,1.05117498318139,0.928366230106282,Replica 2,1,122
471,1.14413419157019,1.11730860353347,1.0984062913216,0.962850495363139,Replica 2,1,122
472,1.1697685691418,1.12486743834473,1.12058366390609,0.988192115697605,Replica 2,1,122
473,1.21540091760701,1.15726889144611,1.1346533045677,0.987580421413669,Replica 2,1,122
474,1.20267391132805,1.16101446332273,1.15199387570464,1.04037182273973,Replica 2,1,122
475,1.23490288471294,1.15896116789639,1.15059039135175,1.01510666419076,Replica 2,1,122
476,1.20137753779211,1.15297050926239,1.14803860161923,1.01387235251068,Replica 2,1,122
477,1.19488439729903,1.15764119226517,1.15436008072935,1.01931206239282,Replica 2,1,122
478,1.17467224295167,1.12537512127981,1.11755631335978,0.996133218276551,Replica 2,1,122
479,1.13330101793505,1.09590694735892,1.09159765235345,0.986914111568668,Replica 2,1,122
480,1.14021125252229,1.07245199575803,1.09106409631846,0.954472468295667,Replica 2,1,122
481,1.10363097318198,1.06952999842054,1.04012109402185,0.9306273143344,Replica 2,1,122
482,1.06134665028351,1.03474807644577,1.01890644210917,0.898699057335416,Replica 2,1,122
483,1.05364731876134,1.00081229269613,0.999942004778806,0.892844269189177,Replica 2,1,122
484,1.00064255036129,0.985683341230623,0.967290695246712,0.852002752624278,Replica 2,1,122
485,0.986619170546393,0.970768744782148,0.949590553738372,0.843176877956067,Replica 2,1,122
486,0.98926828168506,0.941379543762269,0.936066068155984,0.818348643895619,Replica 2,1,122
487,0.952169452930368,0.922098874072068,0.885865404690653,0.80890015183126,Replica 2,1,122
488,0.939138080690798,0.923385004174282,0.893799150949962,0.80380998153994,Replica 2,1,122
489,0.94830287794925,0.884169317899772,0.8645695594683,0.783776993741057,Replica 2,1,122
490,0.920729576480402,0.905311491685282,0.8943791031619,0.778512053654327,Replica 2,1,122
491,0.930029647499126,0.905446873801304,0.88123738603939,0.772963112650056,Replica 2,1,122
492,0.931066746327881,0.901938220627722,0.867666504280047,0.787010234956144,Replica 2,1,122
493,0.930187466886111,0.917213836052257,0.880901013756466,0.784639919605894,Replica 2,1,122
494,0.934087860307297,0.913603646291658,0.887315285220498,0.798818119258539,Replica 2,1,122
495,0.932847850838134,0.913107245199576,0.873500823532141,0.779265748397033,Replica 2,1,122
496,0.967545570347992,0.929071053047226,0.885030273505463,0.81050584932659,Replica 2,1,122
497,0.95366873710672,0.917969719533383,0.900062634838889,0.808823690045768,Replica 2,1,122
498,0.954998929082731,0.935840158848349,0.89586378082446,0.819178800423817,Replica 2,1,122
499,0.956171301671758,0.947302511338252,0.901152944997332,0.81828310522234,Replica 2,1,122
500,0.975019445603039,0.915295922741939,0.900074233883128,0.825350358824236,Replica 2,1,122
501,0.987926816895693,0.940702633182157,0.928109123808198,0.834602234868759,Replica 2,1,122
502,0.96763575285484,0.942406191475439,0.934082631591157,0.828332368458421,Replica 2,1,122
503,0.980328940693729,0.942485164376453,0.922727167281416,0.825350358824236,Replica 2,1,122
504,0.984916975729633,0.943635912362644,0.921822441830793,0.843155031731641,Replica 2,1,122
505,0.965482645503838,0.940172386561069,0.91943303871761,0.849523206151897,Replica 2,1,122
506,0.979269296238262,0.94186466301135,0.947328740111815,0.823799276889971,Replica 2,1,122
507,0.976033998805082,0.923430131546289,0.912809984457281,0.845427039071972,Replica 2,1,122
508,0.971378326889042,0.946467654956114,0.947955088500708,0.852789216703623,Replica 2,1,122
509,0.974230348668117,0.942970283625533,0.937423156331918,0.854110913281412,Replica 2,1,122
510,0.981444949215976,0.957128996592883,0.968728976732317,0.873138974756688,Replica 2,1,122
511,0.969507039871941,0.960908413998511,0.960551650543995,0.891533495723602,Replica 2,1,122
512,0.955494932870396,0.954658272975473,0.951771174055258,0.929152694185627,Replica 2,1,122
513,0.96445681948844,0.97536045488391,0.994177279792145,0.93533517569826,Replica 2,1,122
514,0.98089258136153,1.00099280218416,1.02004314844457,0.961780030366252,Replica 2,1,122
515,1,1,1,1,Replica 2,1,122
516,1.00701168990745,0.994584715359101,1.05702090147772,0.999956307551148,Replica 2,1,122
