Wavelength [nm],Condition_1,Condition_2,Condition_3,Condition_4,Replicate,Plate,Construct
460,0.464656953642384,0.449725680523317,0.436014786129203,0.391298165789848,Replica 3,1,193
461,0.543512582781457,0.500453682211437,0.484142187063172,0.435670614043997,Replica 3,1,193
462,0.611878145695364,0.578803545051699,0.552792072646696,0.510166358595194,Replica 3,1,193
463,0.668015894039735,0.64427094323697,0.60701823415513,0.547236497328919,Replica 3,1,193
464,0.737801324503311,0.700875712175565,0.681093842219162,0.603359671751539,Replica 3,1,193
465,0.834701986754967,0.776208060772315,0.755148741418764,0.683573358249883,Replica 3,1,193
466,0.913854304635762,0.861996201730323,0.824626981579465,0.731987975056367,Replica 3,1,193
467,0.968858278145695,0.912059506224942,0.88754051171604,0.79294550181796,Replica 3,1,193
468,1.03493509933775,0.981230217345431,0.919173302131978,0.836657796916577,Replica 3,1,193
469,1.0958940397351,1.04275163536611,0.978504198722263,0.898793443155735,Replica 3,1,193
470,1.13392317880795,1.0493458535556,1.03345517048573,0.919308971989194,Replica 3,1,193
471,1.17170860927152,1.10702679890272,1.07183905070565,0.980114155714895,Replica 3,1,193
472,1.17595761589404,1.13419497784343,1.0705343922466,0.985547723995044,Replica 3,1,193
473,1.22006887417219,1.16189069423929,1.10884579144103,1.00421482399301,Replica 3,1,193
474,1.2268821192053,1.17824435534923,1.12731809851207,1.02673112469785,Replica 3,1,193
475,1.21713377483444,1.16529858619962,1.1067127784048,1.01078588694116,Replica 3,1,193
476,1.23030463576159,1.15864106351551,1.11310146308127,1.01632101724523,Replica 3,1,193
477,1.21693245033113,1.17105929520996,1.12284498379531,1.00708902927018,Replica 3,1,193
478,1.18243178807947,1.11849546317789,1.09662756142767,0.973593873778717,Replica 3,1,193
479,1.1780238410596,1.12619751002321,1.07828986197542,0.970516544453698,Replica 3,1,193
480,1.13921059602649,1.09572694661321,1.03590917092061,0.9207105279194,Replica 3,1,193
481,1.1162701986755,1.04777379193923,1.00028992410201,0.914017590542544,Replica 3,1,193
482,1.0856582781457,1.03664275163537,0.985234579661824,0.895127054091934,Replica 3,1,193
483,1.05148609271523,1.02564887106985,0.971753108918272,0.865369381081026,Replica 3,1,193
484,1.02953112582781,0.975427305338679,0.9417149010634,0.858442851049136,Replica 3,1,193
485,1.00440794701987,0.966184849124288,0.903475982894478,0.831295322053178,Replica 3,1,193
486,0.976635761589404,0.931061405359781,0.894167348333454,0.808718084133981,Replica 3,1,193
487,0.971602649006623,0.936748259126398,0.871791420317467,0.804838414819931,Replica 3,1,193
488,0.960593377483444,0.922367588098755,0.863342203630264,0.790243951981475,Replica 3,1,193
489,0.943109933774835,0.91079341633256,0.85812356979405,0.780402591862851,Replica 3,1,193
490,0.955793377483444,0.881736653302384,0.844963086449155,0.776583859763157,Replica 3,1,193
491,0.950505960264901,0.902395020046423,0.837849591517649,0.796469704048262,Replica 3,1,193
492,0.940884768211921,0.918073433213758,0.861043519678598,0.78409944953383,Replica 3,1,193
493,0.951735099337748,0.895157206161638,0.852097290245089,0.776766671406228,Replica 3,1,193
494,0.947030463576159,0.910128719139059,0.870869875850358,0.780493997684386,Replica 3,1,193
495,0.929165562913907,0.923063937539565,0.857885417853112,0.778808068087181,Replica 3,1,193
496,0.953939072847682,0.912871913905887,0.869254584424863,0.787156466454064,Replica 3,1,193
497,0.948672847682119,0.905845115003165,0.870186483324187,0.793504092949564,Replica 3,1,193
498,0.953472847682119,0.929151719772104,0.861975418577922,0.797546261501899,Replica 3,1,193
499,0.962564238410596,0.938035450516987,0.895099247232778,0.798775161991428,Replica 3,1,193
500,0.97601059602649,0.929447140746993,0.87648197811073,0.80625012695253,Replica 3,1,193
501,0.997149668874172,0.943194766828445,0.898826842830073,0.808636834514838,Replica 3,1,193
502,0.990166887417219,0.931652247309559,0.899261728983091,0.821616461172838,Replica 3,1,193
503,0.98235761589404,0.94281493986073,0.88613230893484,0.851567102029209,Replica 3,1,193
504,0.965011920529801,0.943321375817683,0.90697578098305,0.832778127602527,Replica 3,1,193
505,0.976328476821192,0.936041358936485,0.892407094856954,0.839806219658345,Replica 3,1,193
506,0.972164238410596,0.939027220932686,0.897335804591155,0.825780504153887,Replica 3,1,193
507,0.973287417218543,0.923085039037772,0.899044285906582,0.837226544250574,Replica 3,1,193
508,0.973509933774835,0.940082295843005,0.893867069799228,0.849810079015255,Replica 3,1,193
509,0.984741721854305,0.940251107828656,0.927084088344016,0.86835530458451,Replica 3,1,193
510,0.98562119205298,0.947214602236759,0.920985327769552,0.882838049196644,Replica 3,1,193
511,0.989584105960265,0.951382148132517,0.92318046739907,0.904765290162702,Replica 3,1,193
512,0.962892715231788,0.966765140324963,0.931722873976205,0.896467672807784,Replica 3,1,193
513,0.994638410596027,0.951234437645073,0.958830777514315,0.939804188417867,Replica 3,1,193
514,1.01201589403974,1.01635366110994,0.984841111237665,0.982023521764742,Replica 3,1,193
515,1,1,1,1,Replica 3,1,193
516,1.01675231788079,0.989544207638742,1.00932934342545,1.01478743068392,Replica 3,1,193
517,1.02679735099338,1.03986073011184,1.06005570684532,1.06714265401881,Replica 3,1,193
518,1.06562119205298,1.08439544207639,1.08672872423041,1.10309561048933,Replica 3,1,193
519,1.0665642384106,1.08017514243511,1.09586133344378,1.14006418719912,Replica 3,1,193
520,1.0882119205298,1.08889006119434,1.12271037617652,1.1875038085759,Replica 3,1,193
521,1.12127152317881,1.11363156784132,1.14249769613883,1.21411305884504,Replica 3,1,193
522,1.11095099337748,1.14647604979954,1.17960798119635,1.25943003392172,Replica 3,1,193
523,1.1346119205298,1.14520995990715,1.21292854406329,1.28197680323374,Replica 3,1,193
524,1.13602119205298,1.15242667229373,1.19883616181907,1.30822043021673,Replica 3,1,193
525,1.10568476821192,1.15606668073433,1.20662269484453,1.30969307956369,Replica 3,1,193
526,1.14757086092715,1.16860097066892,1.21442993673442,1.30507200747497,Replica 3,1,193
527,1.11592052980132,1.15932686220722,1.20567008708078,1.31734069996547,Replica 3,1,193
528,1.09285298013245,1.12952099599072,1.21473021526865,1.29045723223172,Replica 3,1,193
529,1.09071258278146,1.10223675880988,1.1780237530675,1.2801893116126,Replica 3,1,193
530,1.06679735099338,1.08464866005486,1.16324797829711,1.25547927119092,Replica 3,1,193
531,1.0278357615894,1.03438489132728,1.10817275334707,1.21892709877922,Replica 3,1,193
532,0.987072847682119,1.01735598227474,1.07280201290162,1.162245333225,Replica 3,1,193
533,0.984370860927152,0.997098543996624,1.06645474595401,1.14254230058297,Replica 3,1,193
534,0.936911258278146,0.964771048744461,1.01233212876772,1.0826816436798,Replica 3,1,193
535,0.877350993377483,0.922008862629247,0.9741656916243,1.04880055249741,Replica 3,1,193
536,0.875592052980133,0.895663642118591,0.935450469573501,1.00689606142471,Replica 3,1,193
537,0.841229139072848,0.855328128297109,0.910734439876989,0.980997745323069,Replica 3,1,193
538,0.800635761589404,0.819782654568474,0.849788251861209,0.934888586459751,Replica 3,1,193
539,0.752476821192053,0.7844376450728,0.83123310933245,0.883488046149784,Replica 3,1,193
540,0.757403973509934,0.755412534289935,0.794443811673587,0.860189717860698,Replica 3,1,193
541,0.738076821192053,0.741316733488078,0.769075452747549,0.835164835164835,Replica 3,1,193
542,0.703141721854305,0.727231483435324,0.735454611346387,0.807854806930593,Replica 3,1,193
543,0.667666225165563,0.685387212492087,0.698830984602959,0.7844244480104,Replica 3,1,193
544,0.645870198675497,0.65764929309981,0.696822224753306,0.758333164063294,Replica 3,1,193
545,0.603517880794702,0.641791517197721,0.665292978659515,0.697995165647661,Replica 3,1,193
546,0.585886092715232,0.608008018569318,0.627851351771126,0.674310901667648,Replica 3,1,193
547,0.564227814569537,0.595653091369487,0.606407322654462,0.670451544758384,Replica 3,1,193
548,0.551692715231788,0.552078497573328,0.579061267175414,0.631167353903029,Replica 3,1,193
549,0.521737748344371,0.552405570795526,0.569804404775464,0.58679490564888,Replica 3,1,193
550,0.524884768211921,0.535408313990293,0.545833894198412,0.586744124636916,Replica 3,1,193
