Wavelength [nm],Condition_5,Condition_6,Condition_7,Condition_8,Replicate,Plate,Construct
460,0.543534807837343,0.465426474642581,0.461599948430349,0.464406570334692,Replica 1,2,160
461,0.618829939511474,0.547465570886558,0.555366466834268,0.547103865629245,Replica 1,2,160
462,0.69863477551523,0.618516233212115,0.613446786566106,0.6104112634309,Replica 1,2,160
463,0.755752566529682,0.676714235076341,0.695996905820924,0.670643448190688,Replica 1,2,160
464,0.846131350910406,0.759055283506846,0.750338425836395,0.740780536000988,Replica 1,2,160
465,0.925905403949454,0.831628835120978,0.829214207438922,0.834173150549586,Replica 1,2,160
466,1.00489449138847,0.91440311929737,0.90380970798685,0.901729035445227,Replica 1,2,160
467,1.0776962029213,0.97530556248441,0.935963385547605,0.979140422378659,Replica 1,2,160
468,1.15289898570131,1.01181552034239,1.00977244891381,1.02892429294801,Replica 1,2,160
469,1.22097551215158,1.0884326055848,1.05768065493457,1.06487587995554,Replica 1,2,160
470,1.2796632343661,1.09519370889184,1.11549023399729,1.11210324811659,Replica 1,2,160
471,1.29984146773176,1.1799635031705,1.13954747631019,1.15308138816846,Replica 1,2,160
472,1.32385218020348,1.20485486602513,1.13722684200348,1.16213412374954,Replica 1,2,160
473,1.36006833818165,1.20310879468564,1.19336040740024,1.20633567988144,Replica 1,2,160
474,1.38731126194764,1.20230796497355,1.1737123702701,1.2039273805113,Replica 1,2,160
475,1.37227378368811,1.23670425752583,1.19437890801263,1.18951463505002,Replica 1,2,160
476,1.36310046020532,1.21651284609628,1.20516985753884,1.21323947140916,Replica 1,2,160
477,1.38587985408875,1.21456984941776,1.20952749307033,1.21652463875509,Replica 1,2,160
478,1.31886533992089,1.19783119559938,1.18597305485722,1.16725947881932,Replica 1,2,160
479,1.31811115728556,1.13661367186987,1.11723070972733,1.12230455724342,Replica 1,2,160
480,1.2685351926244,1.11380971760906,1.12946560948882,1.10198839076201,Replica 1,2,160
481,1.2359822074464,1.07238975463103,1.09635789337975,1.07881931579597,Replica 1,2,160
482,1.21572701666898,1.0996310931982,1.08551537420228,1.05510682969001,Replica 1,2,160
483,1.1759246433024,1.04550288167413,1.03598272416683,1.0442633073978,Replica 1,2,160
484,1.15174462452479,1.00491000512006,1.00741313736866,1.00841052241571,Replica 1,2,160
485,1.11956103492327,1.0037940948655,0.980919229033714,0.994257132271212,Replica 1,2,160
486,1.1213464468763,0.973730159772092,0.959530716173532,0.949660368037545,Replica 1,2,160
487,1.07834264518016,0.949442701290517,0.923986334042416,0.957441027541065,Replica 1,2,160
488,1.07335580489757,0.964592824040645,0.939560368723006,0.95457576880326,Replica 1,2,160
489,1.07378676640347,0.942917908390332,0.945271707600077,0.92271211559837,Replica 1,2,160
490,1.04278832094319,0.93150936708196,0.950080577580094,0.919920958379647,Replica 1,2,160
491,1.06168906127349,0.918866760315606,0.925430284277703,0.927874521427689,Replica 1,2,160
492,1.04461990734328,0.929448215200011,0.918326564816605,0.934556008398172,Replica 1,2,160
493,1.05468593680257,0.941985795118877,0.949448849352156,0.934716561689515,Replica 1,2,160
494,1.07567991873297,0.958448753462604,0.936479082060208,0.94870939854267,Replica 1,2,160
495,1.07235535854458,0.940686087881215,0.916921291819764,0.918735334074349,Replica 1,2,160
496,1.0768342799095,0.934056268133542,0.959002127248115,0.971137458317896,Replica 1,2,160
497,1.10467747148728,0.960890627666697,0.943776187713531,0.984512782512042,Replica 1,2,160
498,1.1054008711579,0.958776962361004,0.943376522916264,0.974521427689268,Replica 1,2,160
499,1.0778962921919,0.973743288128028,0.964777928189261,0.938100531060887,Replica 1,2,160
500,1.10840221021687,0.967704244397474,0.959969058209244,0.972681239965419,Replica 1,2,160
501,1.13619922734759,0.990035577844587,0.972745439308967,0.985167345930592,Replica 1,2,160
502,1.1018454387342,0.977826206824119,0.995087990717463,0.976324564653575,Replica 1,2,160
503,1.10558556894615,0.982788725367922,0.963089022110488,0.993973076448067,Replica 1,2,160
504,1.09253359191024,0.974478476060443,0.954799200670405,0.954439916018278,Replica 1,2,160
505,1.08329870249804,0.968465689041761,0.944833365564365,0.94807953563048,Replica 1,2,160
506,1.08408366809807,0.971957831720734,0.978985367111455,0.972644189205879,Replica 1,2,160
507,1.07632636099183,0.935198435099972,0.94696061367885,0.96425836729653,Replica 1,2,160
508,1.05245417186129,0.939438894067296,0.973003287565268,0.944041002840558,Replica 1,2,160
509,1.04349632913146,0.973585747856796,0.938077741249275,0.958527849820921,Replica 1,2,160
510,1.05551707684967,0.971025718449279,0.948726874234513,0.943299987649747,Replica 1,2,160
511,1.03830939957827,0.986385894894382,0.974369883323664,0.978177102630604,Replica 1,2,160
512,1.01091256098875,0.969620984364128,0.971675369045317,0.967037174262072,Replica 1,2,160
513,1.02473411214234,0.983996534114033,0.98463224392445,0.987526244288008,Replica 1,2,160
514,1.00981976574164,0.976985992044216,0.976303745245923,0.99284920340867,Replica 1,2,160
515,1,1,1,1,Replica 1,2,160
516,1.00720321374152,0.996363445405732,0.988422613292078,0.994886995183401,Replica 1,2,160
517,0.987255852611165,1.00395163513673,1.01817830206923,1.00874397925157,Replica 1,2,160
518,1.00852688122393,1.0460017591997,1.03852252949139,1.01100407558355,Replica 1,2,160
519,0.999569038494097,1.06586496173084,1.02743505447044,1.06044213906385,Replica 1,2,160
520,1.00614120145911,1.08532118522797,1.066434603236,1.07989378782265,Replica 1,2,160
521,1.00357082390605,1.05004529282798,1.07857925610778,1.09040385327899,Replica 1,2,160
522,1.01078942912992,1.10372714025023,1.08685618513505,1.09615907126096,Replica 1,2,160
523,0.992057995105509,1.08257735883735,1.11742409591955,1.10429788810671,Replica 1,2,160
524,0.994505240799741,1.1095561302858,1.09791787533037,1.12158824255897,Replica 1,2,160
525,0.992242692893753,1.07361069173307,1.10087023786502,1.08477213782883,Replica 1,2,160
526,0.981345523387357,1.08335193183758,1.13085799007284,1.11191799431888,Replica 1,2,160
527,0.961398162257007,1.08482230770241,1.09287694191968,1.09728294430036,Replica 1,2,160
528,0.941604715950193,1.08025363983668,1.10500870237865,1.06972952945535,Replica 1,2,160
529,0.951362915762417,1.08123826653188,1.07143685940824,1.05229097196493,Replica 1,2,160
530,0.918132705360853,1.02474695093933,1.03736221233804,1.03035692231691,Replica 1,2,160
531,0.894291299195025,1.00252064433971,1.01407851479404,0.995652710880573,Replica 1,2,160
532,0.860414646534608,0.966417665515748,0.981370463482241,0.963875509447944,Replica 1,2,160
533,0.84320696926321,0.92186002546901,0.968284664474957,0.967716438186983,Replica 1,2,160
534,0.798386972649336,0.901497945412296,0.92264552310965,0.927763369149068,Replica 1,2,160
535,0.745163226670361,0.89582649564795,0.889499129762135,0.856057799184883,Replica 1,2,160
536,0.749657539517631,0.858043087264182,0.85515374202282,0.848462393479066,Replica 1,2,160
537,0.720336765633898,0.826613803153431,0.828904789531361,0.852118068420403,Replica 1,2,160
538,0.689953979467763,0.763807748355673,0.794997743827757,0.777411386933432,Replica 1,2,160
539,0.679349248126087,0.766866655288758,0.755392251659898,0.753316042978881,Replica 1,2,160
540,0.673854488925828,0.729687151278046,0.730226261844904,0.741830307521304,Replica 1,2,160
541,0.653568515183697,0.708616140000788,0.726564816605428,0.735618130171668,Replica 1,2,160
542,0.619307075464438,0.672408134329338,0.670070263649842,0.693750771890824,Replica 1,2,160
543,0.595511843745671,0.667695054548319,0.67177206214143,0.689489934543658,Replica 1,2,160
544,0.565621585014853,0.633771382809731,0.611100367433765,0.66557984438681,Replica 1,2,160
545,0.586138430992289,0.59328353310315,0.611744988074518,0.63898974928986,Replica 1,2,160
546,0.540087115790122,0.576702419555999,0.590756140011603,0.595689761640114,Replica 1,2,160
547,0.520139754659771,0.562458153365454,0.566221878424547,0.583018401877238,Replica 1,2,160
548,0.504117221529605,0.547583726089982,0.546844581963514,0.541138693343214,Replica 1,2,160
549,0.485001000446353,0.528941460660881,0.530999806613808,0.537557119920958,Replica 1,2,160
550,0.470763879269212,0.52080187998057,0.513208276929027,0.500753365443992,Replica 1,2,160
