Treatment,DxAm,DxDm,DxAm/DxDm,Mean,Normalized,Replicate,Construct,Plate
0,23830,32219,0.739625686706602,0.741861431725977,0.996986303743849,1,196,1
0,23441,32242,0.727033062465108,0.741861431725977,0.980011942086852,1,196,1
0,24637,32463,0.758925546006222,0.741861431725977,1.0230017541693,1,196,1
200,24212,31604,0.766105556258701,0.741861431725977,1.03268012528474,1,196,1
200,24498,30779,0.79593229149745,0.741861431725977,1.07288538999214,1,196,1
200,23153,30495,0.759239219544188,0.741861431725977,1.02342457374793,1,196,1
400,25383,32546,0.779911509862963,0.741861431725977,1.05129000714926,1,196,1
400,25323,31821,0.795795229565381,0.741861431725977,1.07270063590437,1,196,1
400,24347,30719,0.792571372766041,0.741861431725977,1.06835500387462,1,196,1
600,26265,31576,0.831802634912592,0.741861431725977,1.12123720056098,1,196,1
600,28275,32756,0.863200634998168,0.741861431725977,1.16356046841509,1,196,1
600,28440,31483,0.903344662198647,0.741861431725977,1.21767303645503,1,196,1
0,30257,38853,0.778755823231153,0.776486391218774,1.00292269386565,1,196,2
0,30003,40253,0.745360594241423,0.776486391218774,0.959914562148995,1,196,2
0,28489,35375,0.805342756183746,0.776486391218774,1.03716274398535,1,196,2
800,32752,36272,0.902955447728275,0.776486391218774,1.16287350034686,1,196,2
800,33331,32977,1.01073475452588,0.776486391218774,1.30167735836224,1,196,2
800,34337,36550,0.939452804377565,0.776486391218774,1.20987671516432,1,196,2
1000,33816,34339,0.984769504062436,0.776486391218774,1.26823794363832,1,196,2
1000,37160,35744,1.03961504028648,0.776486391218774,1.33887090880588,1,196,2
1000,34351,31971,1.07444246348253,0.776486391218774,1.38372349552203,1,196,2
1500,35424,33784,1.04854368932039,0.776486391218774,1.35036969247406,1,196,2
1500,37232,32420,1.14842689697717,0.776486391218774,1.47900453886204,1,196,2
1500,35661,33356,1.06910300995323,0.776486391218774,1.37684706653412,1,196,2
0,24831,30139,0.823882676930223,0.779340021036415,1.05715432890842,2,196,1
0,25128,32816,0.765724037055095,0.779340021036415,0.982528827451704,2,196,1
0,24646,32931,0.748413349123926,0.779340021036415,0.960316843639878,2,196,1
200,27091,31729,0.853824576885499,0.779340021036415,1.09557388795462,2,196,1
200,26589,33093,0.803462967999275,0.779340021036415,1.03095304528411,2,196,1
200,27344,35357,0.773368781288005,0.779340021036415,0.992338081469923,2,196,1
400,28373,31677,0.895697193547369,0.779340021036415,1.14930219078986,2,196,1
400,28381,34049,0.833534024494111,0.779340021036415,1.06953832986227,2,196,1
400,27835,31281,0.889837281416834,0.779340021036415,1.14178312084304,2,196,1
600,30738,32376,0.949406968124537,0.779340021036415,1.21821918866935,2,196,1
600,31213,33769,0.924309277739939,0.779340021036415,1.18601541405603,2,196,1
600,30745,30712,1.00107449856734,0.779340021036415,1.28451570758043,2,196,1
0,27829,36777,0.756695760937543,0.783438866483055,0.965864464108648,2,196,2
0,28864,36330,0.794494907789705,0.783438866483055,1.01411219404557,2,196,2
0,29622,37068,0.799125930721917,0.783438866483055,1.02002334184578,2,196,2
800,37065,32259,1.14898167953129,0.783438866483055,1.46658753948371,2,196,2
800,35920,34486,1.04158209128342,0.783438866483055,1.32950015099353,2,196,2
800,37573,35853,1.04797367026469,0.783438866483055,1.33765851440223,2,196,2
1000,35011,31451,1.11319194938158,0.783438866483055,1.42090467681138,2,196,2
1000,36766,32059,1.14682304501076,0.783438866483055,1.4638322070476,2,196,2
1000,36642,32231,1.13685582203469,0.783438866483055,1.45110980661217,2,196,2
1500,36020,31540,1.14204185161699,0.783438866483055,1.45772937809908,2,196,2
1500,36831,32059,1.14885055678593,0.783438866483055,1.46642017129332,2,196,2
1500,38453,31624,1.215943587149,0.783438866483055,1.55205931077623,2,196,2
0,25860,35702,0.724329169234217,0.760328919739631,0.952652398756919,3,196,1
0,27096,34155,0.793324549846289,0.760328919739631,1.0433965212292,3,196,1
0,26035,34107,0.763333040138388,0.760328919739631,1.00395108001388,3,196,1
200,26774,35543,0.753284753678643,0.760328919739631,0.990735370077202,3,196,1
200,28765,34588,0.831646813923904,0.760328919739631,1.09379873937808,3,196,1
200,28045,34940,0.802661705781339,0.760328919739631,1.05567693789183,3,196,1
400,30662,34410,0.891078174949143,0.760328919739631,1.1719640695165,3,196,1
400,28284,33926,0.83369686965749,0.760328919739631,1.09649501421435,3,196,1
400,29052,33074,0.878393904577614,0.760328919739631,1.1552814601323,3,196,1
600,30758,33203,0.92636207571605,0.760328919739631,1.21837017067992,3,196,1
600,31027,34923,0.888440282908112,0.760328919739631,1.16849466045873,3,196,1
600,31497,33078,0.952203881734083,0.760328919739631,1.25235783752663,3,196,1
0,25533,32921,0.775583973755354,0.779162599576245,0.995407087271851,3,196,2
0,26760,33855,0.790429774036331,0.779162599576245,1.01446062024308,3,196,2
0,25687,33296,0.771474050937049,0.779162599576245,0.990132292485064,3,196,2
800,30783,32551,0.945685232404534,0.779162599576245,1.21372000262699,3,196,2
800,31033,30898,1.00436921483591,0.779162599576245,1.28903673685332,3,196,2
800,32304,33109,0.975686369265155,0.779162599576245,1.25222433648097,3,196,2
1000,35514,30772,1.15410113089822,0.779162599576245,1.48120704398015,3,196,2
1000,34016,31372,1.08427897488206,0.779162599576245,1.39159525299566,3,196,2
1000,35229,37246,0.945846533855984,0.779162599576245,1.21392702161319,3,196,2
1500,34457,30867,1.1163054394661,0.779162599576245,1.43269895150667,3,196,2
1500,35200,33917,1.03782763805761,0.779162599576245,1.33197825283457,3,196,2
1500,34508,31004,1.11301767513869,0.779162599576245,1.42847933890053,3,196,2
