Treatment,DxAm,DxDm,DxAm.DxDm,Mean,Normalized,Replicate,Construct,Plate
1500,17130,22097,0.775218355,0.888436556,0.872564676,2,3,2
0,17807,24170,0.73673976,0.78376052,0.940006216,3,3,1
0,20577,24633,0.835342833,0.78376052,1.06581387,3,3,1
0,18093,23220,0.779198966,0.78376052,0.994179914,3,3,1
200,18839,25428,0.740876199,0.78376052,0.945283898,3,3,1
200,20120,26108,0.770645013,0.78376052,0.983265926,3,3,1
200,20265,29079,0.696894666,0.78376052,0.889167863,3,3,1
400,21451,30934,0.693444107,0.78376052,0.884765294,3,3,1
400,19244,27849,0.691012245,0.78376052,0.881662481,3,3,1
400,21011,27902,0.753028457,0.78376052,0.960788963,3,3,1
600,21147,26220,0.806521739,0.78376052,1.029041038,3,3,1
600,22134,31088,0.711978899,0.78376052,0.908413834,3,3,1
600,21156,26810,0.789108542,0.78376052,1.006823541,3,3,1
0,18089,25639,0.705526737,0.75248386,0.937597169,3,3,2
0,20939,26697,0.784320336,0.75248386,1.042308516,3,3,2
0,19207,25022,0.767604508,0.75248386,1.020094315,3,3,2
800,20006,28687,0.697389061,0.75248386,0.92678275,3,3,2
800,21780,27873,0.781401356,0.75248386,1.03842939,3,3,2
800,18325,25437,0.720407281,0.75248386,0.957372402,3,3,2
1000,21798,29521,0.738389621,0.75248386,0.981269712,3,3,2
1000,20998,28953,0.725244362,0.75248386,0.963800554,3,3,2
1000,24486,27749,0.882410177,0.75248386,1.172663261,3,3,2
1500,23655,31833,0.743096786,0.75248386,0.987525216,3,3,2
1500,22993,31011,0.741446583,0.75248386,0.985332208,3,3,2
1500,24840,33378,0.744202768,0.75248386,0.988994991,3,3,2
0,19681,25380,0.775453113,0.813948264,0.952705654,1,4,1
0,20412,23719,0.86057591,0.813948264,1.057285761,1,4,1
0,20645,25620,0.805815769,0.813948264,0.990008585,1,4,1
200,20436,25770,0.793015134,0.813948264,0.97428199,1,4,1
200,21446,28814,0.74429097,0.813948264,0.914420489,1,4,1
200,20907,23686,0.882673309,0.813948264,1.084434169,1,4,1
400,19079,23934,0.797150497,0.813948264,0.979362611,1,4,1
400,21942,24205,0.90650692,0.813948264,1.113715651,1,4,1
400,22451,25513,0.879982754,0.813948264,1.081128609,1,4,1
600,24763,29428,0.841477504,0.813948264,1.033821856,1,4,1
600,25795,29023,0.888777866,0.813948264,1.091934101,1,4,1
600,22538,27823,0.81004924,0.813948264,0.99520974,1,4,1
