Wavelength [nm],Condition_1,Condition_2,Condition_3,Condition_4,Replicate,Plate,Construct
460,0.331258690326425,0.300626804602371,0.278351497041073,0.247287416953227,Replica 2,1,001
461,0.3916808286801,0.343879224039117,0.322837932852874,0.283664407571863,Replica 2,1,001
462,0.411993202233552,0.387138898158761,0.366958164879592,0.31386505525323,Replica 2,1,001
463,0.476549912820852,0.411783055962624,0.400546376047343,0.356431743064134,Replica 2,1,001
464,0.504292745370677,0.477713614137926,0.430377336380149,0.383801288685607,Replica 2,1,001
465,0.573528438058664,0.508219555723219,0.502373000527333,0.422094614896671,Replica 2,1,001
466,0.612056471488372,0.558755676789367,0.543981074588387,0.454565485927954,Replica 2,1,001
467,0.661340278237583,0.614558697639326,0.572830608777172,0.480833305511969,Replica 2,1,001
468,0.670896878471533,0.625665617155874,0.598237827386184,0.512997028678263,Replica 2,1,001
469,0.745076401303641,0.668294133863409,0.641523114782914,0.572677194271025,Replica 2,1,001
470,0.753448542232228,0.68128001625049,0.6521357004746,0.568737689046172,Replica 2,1,001
471,0.77721129724043,0.689586628168483,0.674291029472081,0.594518078322706,Replica 2,1,001
472,0.796272999477661,0.710567171108951,0.669317982070663,0.61680632991687,Replica 2,1,001
473,0.814716722946876,0.751766515285617,0.695735923126501,0.610289453477114,Replica 2,1,001
474,0.842805329331185,0.760508408177479,0.694805765512392,0.617006643741862,Replica 2,1,001
475,0.811420836184128,0.750076174170427,0.713753149352552,0.611084031649584,Replica 2,1,001
476,0.81760062386428,0.750845170557595,0.684552059530087,0.599672820752512,Replica 2,1,001
477,0.8145180869143,0.743873420292799,0.718345344817484,0.630060428003873,Replica 2,1,001
478,0.788599763108139,0.712068890468798,0.668768676393039,0.611578139084566,Replica 2,1,001
479,0.789526731260162,0.68005397484076,0.671771547430714,0.605495275932294,Replica 2,1,001
480,0.756067595106197,0.706780226636294,0.669310657994961,0.58478950355557,Replica 2,1,001
481,0.75058671198511,0.668221587034431,0.636952891545087,0.544606550262077,Replica 2,1,001
482,0.731782500901219,0.660698480869401,0.605386125270991,0.549347310786899,Replica 2,1,001
483,0.72776563890912,0.653850060213868,0.617221831604851,0.560070777551497,Replica 2,1,001
484,0.681086171253688,0.636359019747247,0.602009726372532,0.542276232764665,Replica 2,1,001
485,0.688877117864736,0.633587730880283,0.591221362864007,0.504657296431075,Replica 2,1,001
486,0.649046914888138,0.609893936536034,0.556724966309252,0.526217741127767,Replica 2,1,001
487,0.645957021048063,0.584705677514836,0.569066033866526,0.486261810169265,Replica 2,1,001
488,0.635576449123426,0.597597249024245,0.551905724497568,0.499382365706273,Replica 2,1,001
489,0.65978797442745,0.583690021909142,0.530211812269292,0.480198978399493,Replica 2,1,001
490,0.655601903963157,0.593295222065843,0.536993906369016,0.47627950455714,Replica 2,1,001
491,0.622208979820051,0.584488037027902,0.575877424269057,0.492498247254031,Replica 2,1,001
492,0.665261500658442,0.594325387037333,0.556651725552235,0.479544619904517,Replica 2,1,001
493,0.666497458194472,0.614653008516998,0.551554168863889,0.492337996194037,Replica 2,1,001
494,0.667130150742678,0.593483843821187,0.558980781625359,0.489520248389143,Replica 2,1,001
495,0.657345486915771,0.599410919748698,0.563748754907131,0.491837211631556,Replica 2,1,001
496,0.680409337364909,0.605526617431552,0.570347747114314,0.503849364003606,Replica 2,1,001
497,0.660611946118137,0.617525862944531,0.580242573387239,0.508863886755918,Replica 2,1,001
498,0.682609047503439,0.605918370308034,0.576060526161598,0.504096417721096,Replica 2,1,001
499,0.678937959345825,0.610445292436268,0.595432706392453,0.506032784696024,Replica 2,1,001
500,0.694821485061835,0.622371991120268,0.612241460127732,0.524888992755317,Replica 2,1,001
501,0.719099222376717,0.634407510047736,0.628449639655476,0.53253430374253,Replica 2,1,001
502,0.709932537317825,0.644324661569043,0.631020390226753,0.544833572597069,Replica 2,1,001
503,0.737138316890684,0.65414024752978,0.643874143083143,0.556084532434147,Replica 2,1,001
504,0.721710918360591,0.673495741501139,0.640256049686529,0.568690949153674,Replica 2,1,001
505,0.736292274529711,0.684682462529563,0.656185914337611,0.581464294060695,Replica 2,1,001
506,0.736270203859425,0.679459090843139,0.677879826565887,0.595486261810169,Replica 2,1,001
507,0.730090416179273,0.693634741225461,0.688316634440734,0.629279204086402,Replica 2,1,001
508,0.765962612284535,0.703501109966483,0.709864065154977,0.660060761860248,Replica 2,1,001
509,0.78361914851354,0.741189187620609,0.740427433057948,0.669829399392381,Replica 2,1,001
510,0.80942711896827,0.755778354928106,0.803971113845433,0.71679631422562,Replica 2,1,001
511,0.827127796537848,0.823573366608146,0.805575086424093,0.757453343571596,Replica 2,1,001
512,0.876124684573337,0.831560772478635,0.833033046229566,0.781404199913197,Replica 2,1,001
513,0.906685206029707,0.920176724075391,0.893713013417707,0.875311321069676,Replica 2,1,001
514,0.96346568378615,0.936920532203537,0.975530263080799,0.897679698193837,Replica 2,1,001
515,1,1,1,1,Replica 2,1,001
516,1.03170083942116,1.03151434250809,1.08860666783852,1.03102193436384,Replica 2,1,001
517,1.09904581135462,1.10395235124273,1.15735044237417,1.11146128935332,Replica 2,1,001
518,1.14831490432364,1.1477778906284,1.20486904552645,1.18744700030047,Replica 2,1,001
519,1.2174328867701,1.20434265318263,1.28511894298939,1.253390311488,Replica 2,1,001
520,1.27675149160947,1.25883983111098,1.36889172086483,1.33565919941241,Replica 2,1,001
521,1.31672883238797,1.32656955064494,1.38872531786489,1.44244649951591,Replica 2,1,001
522,1.37143466713751,1.38659479694143,1.491555340716,1.47058391479985,Replica 2,1,001
523,1.42263862220162,1.43264026929383,1.56081180055077,1.50068440556872,Replica 2,1,001
524,1.43557939187946,1.46413284775322,1.57401710904084,1.56042466530898,Replica 2,1,001
525,1.46161542592715,1.43687700410615,1.5796127028769,1.57966146963576,Replica 2,1,001
526,1.45470730612755,1.44992092395641,1.63670387297123,1.60323840683738,Replica 2,1,001
527,1.45015339115849,1.47526153131847,1.63841770668542,1.60223683771242,Replica 2,1,001
528,1.4694137294283,1.4516185197545,1.60733432940763,1.5787133175308,Replica 2,1,001
529,1.40745400104468,1.4645391099955,1.60254438389875,1.57531465963343,Replica 2,1,001
530,1.40376084221678,1.43258223183065,1.58360432413429,1.5652321971088,Replica 2,1,001
531,1.41533323033687,1.43052915657057,1.5493569461534,1.51956064501052,Replica 2,1,001
532,1.33517255585719,1.34740499992745,1.44655621960509,1.46022769004774,Replica 2,1,001
533,1.24371169819094,1.32534350923521,1.44473984883108,1.43767903048109,Replica 2,1,001
534,1.24379998087209,1.27280509568927,1.41723062049569,1.40055420158248,Replica 2,1,001
535,1.18864537582673,1.2080860695579,1.34910939239468,1.31881948385804,Replica 2,1,001
536,1.1222126582651,1.16954193932183,1.25563953829027,1.27223984241979,Replica 2,1,001
537,1.10774165544741,1.10644070747668,1.26442842913224,1.19061863586285,Replica 2,1,001
538,1.03417275449322,1.06332612701499,1.15535096970762,1.15967682702901,Replica 2,1,001
539,1.0300308253695,1.02293930732288,1.11503193297006,1.10775548359096,Replica 2,1,001
540,0.986345611982903,1.00416418798334,1.1147462940177,1.04764798183821,Replica 2,1,001
541,0.940475402237966,0.929883489792661,1.04156412960684,1.01839548626181,Replica 2,1,001
542,0.874447313631582,0.889917441708623,1.02514355188375,0.99492538310019,Replica 2,1,001
543,0.851949943719791,0.873376764701615,0.936002226519013,0.933275464895002,Replica 2,1,001
544,0.816644228151876,0.841390867805168,0.917889787308842,0.876292858812139,Replica 2,1,001
545,0.801319826083118,0.810761596610612,0.877006796742251,0.850986545588088,Replica 2,1,001
546,0.756987206368124,0.762351097633522,0.804124919435167,0.824591860581578,Replica 2,1,001
547,0.736299631419806,0.73343393160285,0.801590789242398,0.753573932494241,Replica 2,1,001
548,0.707541548036814,0.68946329855922,0.768376105935431,0.768103361933696,Replica 2,1,001
549,0.674847528452773,0.671087186779066,0.750153805589735,0.709398056955898,Replica 2,1,001
550,0.650327013764741,0.632035228740152,0.738222886271752,0.715260574900678,Replica 2,1,001
