Wavelength [nm],Condition_1,Condition_2,Condition_3,Condition_4,Replicate,Plate,Construct
460,0.512658154583444,0.485268829531125,0.466207432785411,0.450132876782338,Replica 2,1,086
461,0.595737784620371,0.563900034391838,0.556025318608691,0.494301630295906,Replica 2,1,086
462,0.661175871369535,0.634529405021208,0.608776469730656,0.574500434404865,Replica 2,1,086
463,0.738178198108512,0.710925140433337,0.688206922525543,0.625683548832218,Replica 2,1,086
464,0.805260050702073,0.771019144789637,0.75652099962338,0.682309500689937,Replica 2,1,086
465,0.908203780661442,0.846245557720968,0.84054379123082,0.781800991465222,Replica 2,1,086
466,0.959947677312558,0.954144216439298,0.914713707766884,0.82552256349977,Replica 2,1,086
467,1.07062405223008,1.00138713745271,0.96838818626915,0.917156436857975,Replica 2,1,086
468,1.12419692777849,1.03095265390347,1.02603540231561,0.941725864976747,Replica 2,1,086
469,1.17842962482781,1.11974091482288,1.11765134672158,1.02036592221598,Replica 2,1,086
470,1.21781055019853,1.14786197409148,1.12995832877744,1.03458629324884,Replica 2,1,086
471,1.24952828550592,1.20589246818755,1.19002320467495,1.11092656002453,Replica 2,1,086
472,1.27880352367833,1.22574802246933,1.18215062385343,1.07444932795012,Replica 2,1,086
473,1.31239654114624,1.27530666055256,1.24623683347305,1.15271886339245,Replica 2,1,086
474,1.35095558359475,1.26517253238565,1.2343550679739,1.14036387795779,Replica 2,1,086
475,1.32238647018649,1.27322022240055,1.22418631774611,1.13104972658047,Replica 2,1,086
476,1.34220426684571,1.25850051587757,1.2243564043688,1.13290233556498,Replica 2,1,086
477,1.33442531862433,1.26148114180901,1.24381917362199,1.13309398477028,Replica 2,1,086
478,1.24861379605728,1.21671443310788,1.18072918564955,1.14808095262432,Replica 2,1,086
479,1.25386921643303,1.20950361114296,1.15679556802857,1.1019957070578,Replica 2,1,086
480,1.24149466933682,1.22222859108105,1.14437924457241,1.07722185312005,Replica 2,1,086
481,1.21822727956753,1.15210363407085,1.10891618374215,0.997738539377523,Replica 2,1,086
482,1.15372683389862,1.15030379456609,1.08948986162238,1.02840241222466,Replica 2,1,086
483,1.15969995485432,1.0840192594291,1.08565076356745,0.977692032503705,Replica 2,1,086
484,1.13461516200354,1.08624326493179,1.06448712808738,0.946580978177544,Replica 2,1,086
485,1.0976420063204,1.04050212082999,1.01247706867855,0.95064394132979,Replica 2,1,086
486,1.06419947445796,1.02938209331652,1.00325594392001,0.916223744058875,Replica 2,1,086
487,1.04922036880549,1.00484924911154,0.984534266379949,0.905555271630807,Replica 2,1,086
488,1.02070913447625,1.01774618823799,0.968145205379597,0.917974140133899,Replica 2,1,086
489,1.01419195017769,0.99215866101112,0.954914895943434,0.898847549445495,Replica 2,1,086
490,1.03389398867885,0.997145477473346,0.948718883259832,0.886518117238207,Replica 2,1,086
491,1.04559713845833,0.994611945431618,0.976600940336043,0.877574487657791,Replica 2,1,086
492,1.03154409807031,0.969723718904047,0.981958668950687,0.887514693105739,Replica 2,1,086
493,1.03404447428433,0.982047460735985,0.979310177254559,0.893826340266776,Replica 2,1,086
494,1.03051385046361,0.976819901410065,0.969882518739901,0.902488884346093,Replica 2,1,086
495,1.05235741488881,0.992491115441935,0.956409228414185,0.909464915418817,Replica 2,1,086
496,0.988238971141491,1.00300355382323,0.961584721361665,0.891053815096847,Replica 2,1,086
497,1.02259599245257,0.998406511521266,0.963528568478089,0.922599274288343,Replica 2,1,086
498,1.05833053584451,1.01541900722229,0.975981339067682,0.914000613277457,Replica 2,1,086
499,1.05698774121106,1.01428407657916,0.971474043566473,0.926330045484745,Replica 2,1,086
500,1.02852281014504,1.00849478390462,1.01762826353707,0.925180150252977,Replica 2,1,086
501,1.04144142058412,1.00306087355268,1.0308221258398,0.928463739970358,Replica 2,1,086
502,1.080336161691,1.03283274102946,1.02252432846157,0.939886032605918,Replica 2,1,086
503,1.05114195422922,1.02109366043792,1.01160233747616,0.9493279501201,Replica 2,1,086
504,1.03716994455184,1.00769230769231,1.01757966735916,0.924490213113916,Replica 2,1,086
505,1.02117216710848,0.985280293477015,1.00803051839973,0.942403025502121,Replica 2,1,086
506,1.02976142243625,1.02095609308724,0.987437888010108,0.92828486737875,Replica 2,1,086
507,1.03267852801926,0.991619855554282,0.987814508388915,0.905516941789748,Replica 2,1,086
508,0.99429312280783,1.00519316748825,0.960928672959872,0.918025246588644,Replica 2,1,086
509,1.04753029969787,1.00773816347587,1.02068982274544,0.944038432053968,Replica 2,1,086
510,1.01502540891569,0.986380832282472,0.980294249857249,0.942747994071651,Replica 2,1,086
511,1.00857767951196,0.993236271924796,0.98463145873577,0.958642101497419,Replica 2,1,086
512,1.01066132635698,0.965573770491803,0.985323954270997,0.960801349210405,Replica 2,1,086
513,1.01533795594244,1.0086323512553,1.02834372076636,0.961836254918996,Replica 2,1,086
514,1.00420202113744,1.00505560013757,0.999720571977014,0.963765523585629,Replica 2,1,086
515,1,1,1,1,Replica 2,1,086
516,0.98531028974267,0.980522755932592,0.995504853543269,1.00697603107272,Replica 2,1,086
