Wavelength [nm],Condition_5,Condition_6,Condition_7,Condition_8,Replicate,Plate,Construct
460,0.474955778301887,0.412551266925108,0.430484135667396,0.412559940565974,Replica 2,2,005
461,0.550810731132075,0.488075172762515,0.477065098468271,0.489936738782953,Replica 2,2,005
462,0.638428655660377,0.527290859037025,0.557207330415755,0.544980751480222,Replica 2,2,005
463,0.703744103773585,0.604373841227035,0.610557986870897,0.60478624012247,Replica 2,2,005
464,0.782370283018868,0.664447440867464,0.66550875273523,0.679911749476575,Replica 2,2,005
465,0.87376179245283,0.745308725209281,0.742341356673961,0.743769558071996,Replica 2,2,005
466,0.937234669811321,0.783330524186752,0.809792122538293,0.814876516805871,Replica 2,2,005
467,0.99954304245283,0.884670487106017,0.854034463894967,0.869830477948626,Replica 2,2,005
468,1.07309846698113,0.914882858587561,0.920650984682713,0.904365249105113,Replica 2,2,005
469,1.15931603773585,0.951542221473117,0.961337527352298,0.969416240797857,Replica 2,2,005
470,1.18408018867925,1.00761278723524,0.992861050328228,1.01122267498143,Replica 2,2,005
471,1.23315153301887,1.05074723299062,1.05042396061269,1.04332605416601,Replica 2,2,005
472,1.25725235849057,1.06513006348671,1.06922866520788,1.05120556518607,Replica 2,2,005
473,1.29454599056604,1.09121298949379,1.06401805251641,1.07752313199307,Replica 2,2,005
474,1.31298643867925,1.10441597842575,1.12329048140044,1.11381390846259,Replica 2,2,005
475,1.33378537735849,1.1335187370077,1.10008205689278,1.1025349512596,Replica 2,2,005
476,1.33440448113208,1.11018877465026,1.11040754923414,1.10810689119521,Replica 2,2,005
477,1.33552476415094,1.11219731445587,1.1164250547046,1.07287422049123,Replica 2,2,005
478,1.29000589622642,1.08073487274566,1.09838621444201,1.05880366509827,Replica 2,2,005
479,1.23406544811321,1.07382437215574,1.05042396061269,1.03761903689862,Replica 2,2,005
480,1.22542747641509,1.04199674138997,1.05986050328228,1.0414349715212,Replica 2,2,005
481,1.19262971698113,1.00723355244677,1.00255743982495,0.990251919223756,Replica 2,2,005
482,1.18245872641509,0.975490196078431,0.982453501094092,0.966377000832977,Replica 2,2,005
483,1.15057488207547,0.961683240631496,0.984614332603939,0.975055719399356,Replica 2,2,005
484,1.09678655660377,0.961472554637901,0.933875820568928,0.929726018145388,Replica 2,2,005
485,1.0853920990566,0.935417720096635,0.923878555798687,0.910421216146244,Replica 2,2,005
486,1.04644752358491,0.889263441766391,0.89242341356674,0.893840473671177,Replica 2,2,005
487,1.03670400943396,0.880751727625148,0.893667943107221,0.862187352259168,Replica 2,2,005
488,1.03068985849057,0.862983875498623,0.883150984682713,0.865327900222878,Replica 2,2,005
489,1.01877948113208,0.883420416877353,0.871074945295405,0.860769040275558,Replica 2,2,005
490,1.01258844339623,0.839878644867689,0.86738238512035,0.858776649631914,Replica 2,2,005
491,1.01443101415094,0.862731052306309,0.879020787746171,0.873961593011999,Replica 2,2,005
492,1.01892688679245,0.848404404741839,0.886228118161926,0.879162070285238,Replica 2,2,005
493,1.01342865566038,0.893196246980167,0.868613238512035,0.877451090749454,Replica 2,2,005
494,1.02942216981132,0.88961458508905,0.869515864332604,0.854138994574394,Replica 2,2,005
495,0.997494103773585,0.868082476543626,0.863744529540481,0.843422859587114,Replica 2,2,005
496,1.03388856132075,0.874304736221136,0.907986870897155,0.880839280488079,Replica 2,2,005
497,1.03380011792453,0.898435305354233,0.901121444201313,0.874107926788086,Replica 2,2,005
498,1.04991155660377,0.913113096241362,0.899070021881838,0.870911096602805,Replica 2,2,005
499,1.05001474056604,0.881734928928591,0.902010393873085,0.890778720817668,Replica 2,2,005
500,1.07467570754717,0.906062138322378,0.900656455142232,0.878464170737747,Replica 2,2,005
501,1.06310436320755,0.908323501320299,0.910065645514223,0.899040950944416,Replica 2,2,005
502,1.07221403301887,0.915093544581156,0.900834245076586,0.921891532902587,Replica 2,2,005
503,1.03334316037736,0.898421259621327,0.925396608315099,0.898466872284383,Replica 2,2,005
504,1.05291863207547,0.910233720995562,0.891630196936543,0.919865372926,Replica 2,2,005
505,1.04044811320755,0.907017248160009,0.890618161925602,0.885454422656971,Replica 2,2,005
506,1.02844929245283,0.901651778189786,0.923181072210066,0.906155023751097,Replica 2,2,005
507,1.01561025943396,0.897676835777291,0.910599015317287,0.903847452666652,Replica 2,2,005
508,1.01096698113208,0.897620652845665,0.904554157549234,0.924154078209775,Replica 2,2,005
509,1.02495577830189,0.948606663295691,0.949644420131291,0.914023278326842,Replica 2,2,005
510,1.02514740566038,0.941415248047643,0.919625273522976,0.911726963686711,Replica 2,2,005
511,1.0069133254717,0.964871622001236,0.94617067833698,0.920135527589545,Replica 2,2,005
512,1.01270636792453,0.945558739255014,0.933424507658643,0.937391656723474,Replica 2,2,005
513,1.0427329009434,0.957272880498904,0.979349015317287,0.944032958868952,Replica 2,2,005
514,1.00887382075472,0.958733636721164,0.976353938730853,0.972072761656048,Replica 2,2,005
515,1,1,1,1,Replica 2,2,005
516,1.0005454009434,0.983594583965391,1.02129376367615,0.990927305882618,Replica 2,2,005
517,1.0002358490566,1.01773976066071,1.0265590809628,0.998108917355186,Replica 2,2,005
518,1.01155660377359,1.03205236249227,1.06645240700219,1.03280127873207,Replica 2,2,005
519,1.00831367924528,1.06727906062138,1.06695842450766,1.07859249420293,Replica 2,2,005
520,0.989740566037736,1.11025900331479,1.12160831509847,1.10102658772147,Replica 2,2,005
521,1.00689858490566,1.11520310129783,1.14347647702407,1.07732051599541,Replica 2,2,005
522,1.04102299528302,1.13183324905894,1.1605443107221,1.13281478646525,Replica 2,2,005
523,0.992703419811321,1.1441513568178,1.16969365426696,1.14873139872577,Replica 2,2,005
524,0.993764740566038,1.13946008202708,1.17294857768053,1.16900425493595,Replica 2,2,005
525,0.98671875,1.13721276476207,1.18079868708972,1.14699790630136,Replica 2,2,005
526,0.983814858490566,1.1443760885443,1.19187636761488,1.16155248879984,Replica 2,2,005
527,1.00794516509434,1.14086465531771,1.17024070021882,1.1449154641032,Replica 2,2,005
528,0.94798054245283,1.1479156132367,1.19279266958425,1.12289785902429,Replica 2,2,005
529,0.950471698113208,1.14108938704422,1.15861597374179,1.12837974740539,Replica 2,2,005
530,0.915020636792453,1.08072082701275,1.1246170678337,1.09616380377766,Replica 2,2,005
531,0.897818396226415,1.05748918478566,1.10009573304158,1.06049213174542,Replica 2,2,005
532,0.873820754716981,1.03517051519748,1.04606126914661,1.03707872757153,Replica 2,2,005
