construct,mean_delta,sd_delta
001,0.605561037420873,0.0797752240370277
002,0.240426682802262,0.0722655200173695
003,-0.043618142454705,0.100732761003834
004,-0.0102835844682957,0.151875648097047
005,0.240274721445466,0.154891678231987
006,0.255306583037476,0.067631599979561
007,0.056115663481109,0.120546661622917
008,0.71514395403393,0.0844769148134079
009,0.736213422636092,0.0631943379933782
010,0.548550004073921,0.0869808622890655
011,0.250938801838577,0.053243042158959
012,0.495988541376093,0.081971455309004
013,0.602148633028492,0.0916323910747178
014,0.629790315182217,0.0511482661425814
015,0.376287763635085,0.0667143046401353
016,-0.00942920296397679,0.267924781264707
017,0.109615530001807,0.0711783752330188
018,0.318385727599757,0.120561556509053
019,0.334213279529111,0.10562985460316
020,0.400519500385206,0.105167138145125
021,0.382613239817453,0.0669827408325624
022,0.364213212099581,0.112221536534233
023,0.918800899610809,0.0704219084754231
024,0.578011695944564,0.0737742268243172
025,0.638355903177899,0.0400082605655716
026,0.714338917746585,0.103070552347445
027,0.260225523120316,0.0506104423329096
028,0.833370054238888,0.177446554263197
029,0.139720733983599,0.0840084176418637
030,0.389955643468271,0.0546691073966032
031,0.423588659383968,0.0799081821323023
032,0.190669580303627,0.0702786223617141
033,0.202334033309916,0.102912096284043
034,0.311647999934963,0.153471148306045
035,0.0421355585436339,0.104336779428281
036,0.626068816615832,0.144640826358139
037,0.0628557051875339,0.0882587611137095
038,0.244668368910749,0.0665882903777434
039,0.38196249046057,0.0528308573723887
040,0.483923073644449,0.0447937745851759
041,0.21213302658737,0.0954414327958934
042,0.54637878571782,0.0399879338900718
043,0.269778906673213,0.0730959069214454
044,0.175553725586603,0.061151602389809
045,0.0398973218644331,0.0564628150100887
046,0.339434439876856,0.0843430627160173
047,0.423371615044155,0.122003563657106
048,0.295501804394831,0.0543921131245795
049,0.0709194044026337,0.10796464580486
050,0.244246193175383,0.15429276062969
051,0.369108366828083,0.0577739852700819
052,0.256560470122775,0.0533177190058538
053,0.265558033921112,0.0605910246107023
054,0.19813319478273,0.0630481773057074
055,0.274558111665144,0.082260089949645
056,0.381250820206173,0.0381801505731135
057,0.298374156056012,0.088513093525863
058,0.631488901813428,0.134595508107033
059,0.211905187799893,0.0526258677113202
060,0.122332028670781,0.0579438955066693
061,0.267383200972753,0.0507446881143703
062,0.440252430490908,0.092521491043274
063,0.246570073213562,0.142711342437534
064,0.634945520594437,0.14068566905336
065,0.291134481163551,0.0843641744272552
066,0.115743449539339,0.130135175593538
067,0.00565974608523476,0.123479746462438
068,0.0926221573502182,0.0678825338618586
069,0.309124027314116,0.0640451344017644
070,0.347578348091346,0.0748442000803095
071,0.352984903517231,0.058218747530743
072,0.333394830747211,0.0392786449135184
073,0.295424208788834,0.0906007956387184
074,0.279400078064458,0.0478370316571597
075,0.172585063310842,0.0467627124187636
076,-0.127188724861317,0.121268882549119
077,0.283749677776952,0.157629168385415
078,0.184017549824319,0.081423258443192
079,0.328520192735893,0.0924549509620435
080,0.152070476342398,0.137054184680884
081,0.56444606790804,0.0901096414317793
082,0.252874421393345,0.0628645547419589
083,0.329111060479219,0.0366172573196586
084,0.371998746285304,0.0435461541778871
085,0.616310613301791,0.0934496381205981
086,0.421754627105786,0.0752001033769048
087,0.159220946706192,0.161299105972055
088,0.290929745626919,0.129417658433852
089,0.420285868869461,0.137232276004186
090,0.399125550072195,0.0782544158707306
091,0.0168312977447037,0.144630483766813
092,0.173938900370292,0.143128087604591
093,-0.0267617469510988,0.0360940303507998
094,0.0955600549574692,0.087499450789286
095,0.0838929761439434,0.0594059499374625
096,0.391917230709239,0.0647584201056001
097,0.348692714434245,0.0873739023908719
098,0.09793824098716,0.131766587926638
099,0.166355829188834,0.0720002993857626
100,0.0660867303855371,0.135043776764546
101,0.191292982247612,0.0820475993875742
102,0.678681231039251,0.0962518549638231
103,0.0619211148578612,0.214519345405434
104,0.254711282566351,0.0391893495286283
105,0.388068992694787,0.15726293899398
106,-0.00354884360335066,0.0728406224940673
107,0.431860194490447,0.126151702117937
108,0.446876755120043,0.0578103050761544
109,0.37652618669684,0.0787902263230495
110,0.20323084259746,0.0762580406731976
111,0.258104328052896,0.0774830511960023
112,0.0116577485688496,0.105755329655438
113,0.339786930651401,0.0553145899908797
114,0.152193454468877,0.0700114697530484
115,0.310384681391871,0.140809286354375
116,0.761002189887433,0.0514240094449636
117,0.24352562781458,0.080023179118486
118,0.468771679299241,0.0613571597809907
119,0.6126034281864,0.158319805080305
120,0.541920981995269,0.0756497975406892
121,0.514272231773376,0.0927497406373561
122,0.673197193079609,0.0821747831566835
123,0.659981923452073,0.0739813065512094
124,0.465584152790972,0.0913354094638919
125,0.237972418668003,0.0530826243229106
126,0.35599342598105,0.0543703266435139
127,0.448708759531752,0.0568059764232994
128,0.34195640969554,0.0814765751784018
129,0.323040445230213,0.113597955158603
130,0.737421545660697,0.0497102852886733
131,0.178208116717258,0.0888210997256263
132,0.267206635285998,0.0648626520350097
133,0.614310829658764,0.0427148803888792
134,0.359163519038006,0.0571189725948352
135,0.241772116743572,0.0613529184622053
136,0.269338862341007,0.0755645088173261
137,0.204776960046426,0.0792735285370804
138,0.242975511000539,0.0793375935504858
139,0.376783084775811,0.159347903661103
140,0.0733548961704648,0.0376091113202467
141,0.628344834019396,0.0874611466948608
142,0.171597444250675,0.108292039674484
143,-0.0258966667717463,0.0609157489866055
144,0.606144793724568,0.0614790970369477
145,0.47178501869821,0.0701481656308506
146,0.0576370244790992,0.0529524167022658
147,0.0837350243582574,0.0842984825792594
148,0.0858350774932868,0.0539701618341612
149,0.195839449436831,0.0732198102696588
150,0.375959847470343,0.0708626274427678
151,0.566619138510271,0.054816970361617
152,0.295370264561298,0.0796460810844527
153,0.414587034839284,0.0903291208265435
154,0.940986389734348,0.119690399021033
155,0.656605856604915,0.0988369150950784
156,0.415878499172662,0.0803253242327562
157,0.297124508016045,0.099877737732336
158,0.178285058520795,0.0747177318871548
159,0.437461992918292,0.0874176677412545
160,0.289828795944255,0.0487220793134186
161,0.470886682583174,0.0531224762478251
162,0.503916720730183,0.141373744980203
163,1.81062352282112,0.144258996324496
164,0.638611716439951,0.0676570887620529
165,0.323921424307039,0.0361133465789485
166,0.364865830004333,0.093566311004846
167,0.555591164151308,0.124262374823398
168,0.831669220034577,0.172740856212862
169,0.237251300803656,0.0953439584386239
170,0.251058307873527,0.0739881085462836
171,0.26747400775875,0.0293384508539232
172,0.193937473958749,0.118394149312644
173,0.330641119708193,0.0680209530389754
174,0.355592369633142,0.0371186161336
175,0.386208935573673,0.0903122606511877
176,-0.0376507208852676,0.0823723008296127
177,0.707515509917455,0.0884835479895514
178,-0.0643155182905735,0.0992159926429064
179,0.327451648616171,0.100727251181126
180,0.795408261184439,0.105015378877847
181,0.99110841979093,0.0851259069370879
182,0.467460073230546,0.0910618923378441
183,0.447856223252998,0.0486921603182137
184,0.892047221109758,0.0728930747298065
185,0.891260660268789,0.0989694252297816
186,0.711409025420825,0.057974402791406
187,0.566275132808246,0.152058788666544
188,0.48417599769216,0.0881896795668992
189,0.807652279086512,0.109662290806155
190,0.654070032276069,0.108736031405951
191,0.685508333261359,0.108939067158225
192,0.752538145370095,0.0989477611462145
193,0.979530374746266,0.0688089969317482
194,0.363120973932098,0.109771345116202
195,0.251274395958257,0.0897950838085048
196,0.430620744586735,0.0927972295125949
197,0.540741554402093,0.0649082077538103
198,0.424308704085611,0.0481728730269985
199,0.766137463683798,0.101508701470033
200,0.52194052286573,0.0633687858193146
201,0.446354148729369,0.0494613979763497
